REGCOMERCIO,NIT,NOMBRE,PRECIOSALAESTUDIO,PRECIOSALAESPARCIMIENTO,PRECIOGIMNASIO,RESTAURANTE
35,35,William's Vivienda Universitaria,311,294,480,N
36,36,Eugenia's Vivienda Universitaria,376,371,871,N
37,37,Alpha's Vivienda Universitaria,358,244,737,Y
38,38,Latoya's Vivienda Universitaria,264,104,803,Y
39,39,Melanie's Vivienda Universitaria,284,468,371,N
40,40,Sophia's Vivienda Universitaria,107,246,681,Y
41,41,Paula's Vivienda Universitaria,343,262,115,N
42,42,Kenneth's Vivienda Universitaria,131,100,132,Y
43,43,Christina's Vivienda Universitaria,393,440,557,N
44,44,Luke's Vivienda Universitaria,194,378,977,N
45,45,John's Vivienda Universitaria,342,433,732,N
46,46,Manuel's Vivienda Universitaria,317,295,329,Y
47,47,Marlene's Vivienda Universitaria,135,402,481,Y
48,48,Charles's Vivienda Universitaria,458,466,759,Y
49,49,Scott's Vivienda Universitaria,382,112,640,N
50,50,Jackie's Vivienda Universitaria,341,234,215,Y
51,51,Edna's Vivienda Universitaria,391,213,758,N
52,52,Bryan's Vivienda Universitaria,161,290,472,Y
53,53,Gary's Vivienda Universitaria,320,184,799,Y
54,54,Stephanie's Vivienda Universitaria,361,256,615,Y
55,55,Frank's Vivienda Universitaria,398,150,217,Y
56,56,Yolanda's Vivienda Universitaria,378,308,208,Y
57,57,Callie's Vivienda Universitaria,161,180,603,Y
58,58,Patrick's Vivienda Universitaria,197,312,324,Y
59,59,Aline's Vivienda Universitaria,180,194,307,Y
60,60,Betty's Vivienda Universitaria,194,127,503,Y
61,61,Martin's Vivienda Universitaria,151,317,322,N
62,62,Robert's Vivienda Universitaria,196,321,542,Y
63,63,Stuart's Vivienda Universitaria,389,500,781,Y
64,64,Robert's Vivienda Universitaria,219,362,533,N
65,65,Kathyrn's Vivienda Universitaria,124,284,318,Y
66,66,Kevin's Vivienda Universitaria,249,109,573,N
67,67,Danny's Vivienda Universitaria,179,495,735,Y
68,68,Chester's Vivienda Universitaria,261,324,248,N
69,69,Lester's Vivienda Universitaria,266,191,710,Y
70,70,Juanita's Vivienda Universitaria,218,165,301,N
71,71,Sherry's Vivienda Universitaria,284,211,630,N
72,72,Kenneth's Vivienda Universitaria,163,125,755,N
73,73,Michelle's Vivienda Universitaria,411,207,852,N
74,74,Ofelia's Vivienda Universitaria,323,188,584,N
75,75,Mary's Vivienda Universitaria,419,475,909,N
76,76,Pauline's Vivienda Universitaria,125,363,445,Y
77,77,Georgiann's Vivienda Universitaria,322,454,795,N
78,78,Christina's Vivienda Universitaria,108,189,638,Y
79,79,James's Vivienda Universitaria,370,182,238,Y
80,80,Edward's Vivienda Universitaria,256,292,816,Y
81,81,Sue's Vivienda Universitaria,326,120,756,Y
82,82,Diane's Vivienda Universitaria,484,244,899,N
83,83,Maritza's Vivienda Universitaria,283,212,225,Y
84,84,Pat's Vivienda Universitaria,337,379,283,Y
85,85,Ricky's Vivienda Universitaria,252,268,532,Y
86,86,Bernard's Vivienda Universitaria,101,363,978,Y
87,87,Beth's Vivienda Universitaria,488,383,450,Y
88,88,Richard's Vivienda Universitaria,412,464,342,Y
89,89,Tina's Vivienda Universitaria,266,124,608,N
90,90,Wendy's Vivienda Universitaria,464,165,892,Y
91,91,Timothy's Vivienda Universitaria,258,259,327,N
92,92,Wayne's Vivienda Universitaria,219,260,355,Y
93,93,Joseph's Vivienda Universitaria,109,220,568,Y
94,94,Philip's Vivienda Universitaria,175,332,690,Y
95,95,Timothy's Vivienda Universitaria,393,198,397,Y
96,96,Andrew's Vivienda Universitaria,229,316,396,N
97,97,Rodrigo's Vivienda Universitaria,448,355,514,Y
98,98,Carol's Vivienda Universitaria,274,274,257,Y
99,99,Andrew's Vivienda Universitaria,310,456,190,N
100,100,Wendy's Vivienda Universitaria,328,445,579,N
101,101,Beverly's Vivienda Universitaria,252,162,346,Y
102,102,Maria's Vivienda Universitaria,155,424,461,Y
103,103,Inocencia's Vivienda Universitaria,400,445,660,N
104,104,Brandon's Vivienda Universitaria,389,204,812,Y
105,105,Robert's Vivienda Universitaria,383,270,317,N
106,106,Clarence's Vivienda Universitaria,424,279,987,N
107,107,Pamela's Vivienda Universitaria,186,109,469,N
108,108,Charles's Vivienda Universitaria,436,250,386,Y
109,109,Lorene's Vivienda Universitaria,382,325,327,Y
110,110,Carrie's Vivienda Universitaria,396,430,968,Y
111,111,Evelyn's Vivienda Universitaria,493,396,908,Y
112,112,Yong's Vivienda Universitaria,147,441,295,Y
113,113,Grace's Vivienda Universitaria,263,371,380,Y
114,114,Elsa's Vivienda Universitaria,163,264,294,Y
115,115,Edward's Vivienda Universitaria,367,455,157,Y
116,116,Krista's Vivienda Universitaria,138,217,896,Y
117,117,Bertha's Vivienda Universitaria,366,287,716,Y
118,118,Dustin's Vivienda Universitaria,289,218,421,Y
119,119,James's Vivienda Universitaria,437,120,284,Y
120,120,Florencio's Vivienda Universitaria,181,295,160,Y
121,121,Julia's Vivienda Universitaria,486,427,961,Y
122,122,Helen's Vivienda Universitaria,179,194,400,Y
123,123,Bertha's Vivienda Universitaria,142,446,741,Y
124,124,Bob's Vivienda Universitaria,477,209,996,Y
125,125,Douglas's Vivienda Universitaria,437,288,285,Y
126,126,Ervin's Vivienda Universitaria,342,412,752,Y
127,127,Many's Vivienda Universitaria,454,393,340,Y
128,128,Cecilia's Vivienda Universitaria,171,143,116,Y
129,129,Marcella's Vivienda Universitaria,156,239,892,N
130,130,Peter's Vivienda Universitaria,175,484,148,N
131,131,Tracy's Vivienda Universitaria,190,258,678,Y
132,132,Linda's Vivienda Universitaria,412,433,772,N
133,133,William's Vivienda Universitaria,361,356,151,Y
134,134,Juan's Vivienda Universitaria,285,292,684,N
135,135,Debbie's Vivienda Universitaria,477,347,549,Y
136,136,Tomas's Vivienda Universitaria,479,123,654,Y
137,137,Calvin's Vivienda Universitaria,113,477,365,N
138,138,Shantel's Vivienda Universitaria,129,198,389,Y
139,139,Eloisa's Vivienda Universitaria,283,281,147,N
140,140,Eleanor's Vivienda Universitaria,182,329,147,Y
141,141,Deborah's Vivienda Universitaria,492,466,681,N
142,142,George's Vivienda Universitaria,240,147,250,Y
143,143,Timothy's Vivienda Universitaria,474,344,251,N
144,144,Amanda's Vivienda Universitaria,476,170,820,Y
145,145,Jonathan's Vivienda Universitaria,194,387,984,N
146,146,Rebbeca's Vivienda Universitaria,457,175,643,N
147,147,Brenda's Vivienda Universitaria,476,441,324,Y
148,148,Don's Vivienda Universitaria,126,165,221,N
149,149,Ramon's Vivienda Universitaria,303,278,818,Y
150,150,Manuel's Vivienda Universitaria,255,328,399,N
151,151,Mary's Vivienda Universitaria,201,269,258,Y
152,152,Mildred's Vivienda Universitaria,360,400,660,Y
153,153,Shawn's Vivienda Universitaria,222,218,479,N
154,154,Timothy's Vivienda Universitaria,169,215,420,Y
155,155,John's Vivienda Universitaria,383,359,199,N
156,156,Stephen's Vivienda Universitaria,458,305,123,Y
157,157,Brain's Vivienda Universitaria,409,479,135,Y
158,158,Patricia's Vivienda Universitaria,401,265,248,Y
159,159,Dolores's Vivienda Universitaria,141,391,391,Y
160,160,John's Vivienda Universitaria,321,120,569,Y
161,161,Ashley's Vivienda Universitaria,473,167,583,N
162,162,Paul's Vivienda Universitaria,314,387,989,N
163,163,Richard's Vivienda Universitaria,110,233,939,Y
164,164,Wayne's Vivienda Universitaria,145,211,262,Y
165,165,Viola's Vivienda Universitaria,226,270,339,Y
166,166,Anthony's Vivienda Universitaria,401,193,772,Y
167,167,Glenna's Vivienda Universitaria,448,324,241,Y
168,168,Stephen's Vivienda Universitaria,440,105,335,Y
169,169,Maria's Vivienda Universitaria,253,196,677,N
170,170,Ashley's Vivienda Universitaria,368,250,401,N
171,171,Amanda's Vivienda Universitaria,300,448,909,Y
172,172,Damien's Vivienda Universitaria,306,236,984,Y
173,173,Richard's Vivienda Universitaria,235,295,586,N
174,174,Marlene's Vivienda Universitaria,145,175,357,Y
175,175,Lillie's Vivienda Universitaria,204,468,833,N
176,176,Bernard's Vivienda Universitaria,137,439,579,Y
177,177,Joan's Vivienda Universitaria,415,128,917,Y
178,178,Richard's Vivienda Universitaria,381,166,195,Y
179,179,Johnny's Vivienda Universitaria,481,362,551,Y
180,180,Ronald's Vivienda Universitaria,243,170,524,Y
181,181,Fe's Vivienda Universitaria,400,401,230,N
182,182,Joseph's Vivienda Universitaria,319,139,456,N
183,183,Jacob's Vivienda Universitaria,255,330,609,N
184,184,Grace's Vivienda Universitaria,324,228,237,N
185,185,Kerri's Vivienda Universitaria,133,312,152,Y
186,186,Charles's Vivienda Universitaria,383,162,231,N
187,187,Charles's Vivienda Universitaria,202,437,613,Y
188,188,Thelma's Vivienda Universitaria,130,108,829,N
189,189,Jamie's Vivienda Universitaria,345,410,881,Y
190,190,Nancy's Vivienda Universitaria,321,115,869,N
191,191,Nancy's Vivienda Universitaria,361,304,867,Y
192,192,Matthew's Vivienda Universitaria,337,159,713,Y
193,193,Linda's Vivienda Universitaria,408,221,450,Y
194,194,Carmen's Vivienda Universitaria,170,311,602,Y
195,195,Debra's Vivienda Universitaria,151,128,489,Y
196,196,Joanne's Vivienda Universitaria,363,288,794,N
197,197,Cynthia's Vivienda Universitaria,399,223,367,N
198,198,Annie's Vivienda Universitaria,452,459,612,Y
199,199,Donna's Vivienda Universitaria,177,331,841,N
200,200,Francis's Vivienda Universitaria,204,249,177,Y
201,201,Laurie's Vivienda Universitaria,254,108,950,N
202,202,Joseph's Vivienda Universitaria,247,155,828,Y
203,203,Allen's Vivienda Universitaria,358,270,782,N
204,204,Maryann's Vivienda Universitaria,344,335,422,N
205,205,Hattie's Vivienda Universitaria,136,416,242,Y
206,206,Carolyn's Vivienda Universitaria,178,109,225,N
207,207,Ella's Vivienda Universitaria,243,484,856,Y
208,208,Jessica's Vivienda Universitaria,158,433,933,N
209,209,Joanna's Vivienda Universitaria,241,319,962,Y
210,210,Laurie's Vivienda Universitaria,185,406,393,N
211,211,Johnathan's Vivienda Universitaria,114,235,330,N
212,212,Orval's Vivienda Universitaria,165,369,785,N
213,213,Robert's Vivienda Universitaria,331,305,811,Y
214,214,Ryan's Vivienda Universitaria,382,428,192,Y
215,215,Donald's Vivienda Universitaria,272,466,925,N
216,216,Robin's Vivienda Universitaria,108,108,229,N
217,217,Gregory's Vivienda Universitaria,202,455,443,Y
218,218,Juan's Vivienda Universitaria,132,241,253,N
219,219,John's Vivienda Universitaria,326,204,398,Y
220,220,Nancy's Vivienda Universitaria,442,460,332,N
221,221,Elizabeth's Vivienda Universitaria,203,477,369,Y
222,222,Marie's Vivienda Universitaria,235,230,678,Y
223,223,Steven's Vivienda Universitaria,327,366,224,Y
224,224,Louis's Vivienda Universitaria,437,203,734,N
225,225,Aaron's Vivienda Universitaria,448,225,276,N
226,226,Angela's Vivienda Universitaria,241,241,220,N
227,227,Keith's Vivienda Universitaria,307,450,992,Y
228,228,Connie's Vivienda Universitaria,353,265,448,N
229,229,John's Vivienda Universitaria,332,389,954,N
230,230,Rena's Vivienda Universitaria,453,131,919,Y
231,231,Anita's Vivienda Universitaria,164,204,530,N
232,232,Karen's Vivienda Universitaria,402,436,751,N
233,233,Robert's Vivienda Universitaria,190,350,447,Y
234,234,James's Vivienda Universitaria,439,286,888,Y
235,235,Richard's Vivienda Universitaria,446,113,856,N
236,236,Stacy's Vivienda Universitaria,466,229,856,N
237,237,James's Vivienda Universitaria,215,417,822,N
238,238,Barbara's Vivienda Universitaria,171,392,571,N
239,239,Charlene's Vivienda Universitaria,282,492,818,N
240,240,Roland's Vivienda Universitaria,230,310,263,N
241,241,Billie's Vivienda Universitaria,389,118,607,N
242,242,Paul's Vivienda Universitaria,301,148,959,N
243,243,Rich's Vivienda Universitaria,372,175,322,N
244,244,Vern's Vivienda Universitaria,440,376,515,Y
245,245,Dolly's Vivienda Universitaria,202,449,834,N
246,246,Jim's Vivienda Universitaria,356,459,456,Y
247,247,John's Vivienda Universitaria,397,225,901,N
248,248,Willie's Vivienda Universitaria,137,424,915,N
249,249,Shirley's Vivienda Universitaria,199,108,245,Y
250,250,Nancy's Vivienda Universitaria,435,207,775,Y
251,251,Susan's Vivienda Universitaria,417,111,950,N
252,252,Stephen's Vivienda Universitaria,282,260,977,Y
253,253,Eric's Vivienda Universitaria,172,482,864,Y
254,254,Matthew's Vivienda Universitaria,496,231,527,Y
255,255,John's Vivienda Universitaria,318,198,429,N
256,256,Julia's Vivienda Universitaria,130,235,971,Y
257,257,George's Vivienda Universitaria,287,108,169,Y
258,258,Denise's Vivienda Universitaria,352,132,460,N
259,259,Loretta's Vivienda Universitaria,295,164,210,Y
260,260,Carolyn's Vivienda Universitaria,241,180,393,N
261,261,Kyle's Vivienda Universitaria,232,114,114,Y
262,262,John's Vivienda Universitaria,478,329,249,Y
263,263,Eula's Vivienda Universitaria,342,261,209,Y
264,264,Carolyn's Vivienda Universitaria,357,128,983,Y
265,265,Carol's Vivienda Universitaria,336,281,612,N
266,266,Doris's Vivienda Universitaria,322,259,902,N
267,267,Scott's Vivienda Universitaria,362,455,724,N
268,268,Miguel's Vivienda Universitaria,139,346,303,N
269,269,Justin's Vivienda Universitaria,162,274,643,N
270,270,Kelly's Vivienda Universitaria,200,246,180,N
271,271,Kenneth's Vivienda Universitaria,492,140,508,N
272,272,Andrew's Vivienda Universitaria,312,133,376,Y
273,273,Lynette's Vivienda Universitaria,492,430,770,N
274,274,Warren's Vivienda Universitaria,421,300,268,N
275,275,Thomas's Vivienda Universitaria,276,478,971,Y
276,276,Garnet's Vivienda Universitaria,484,421,166,Y
277,277,Maria's Vivienda Universitaria,423,330,372,N
278,278,Stephanie's Vivienda Universitaria,340,241,415,Y
279,279,Lillian's Vivienda Universitaria,133,481,619,Y
280,280,Jose's Vivienda Universitaria,461,478,941,N
281,281,David's Vivienda Universitaria,319,235,139,N
282,282,Susan's Vivienda Universitaria,371,383,817,N
283,283,William's Vivienda Universitaria,476,246,405,N
284,284,Dean's Vivienda Universitaria,147,493,807,Y
285,285,Susan's Vivienda Universitaria,191,256,242,N
286,286,John's Vivienda Universitaria,254,365,305,Y
287,287,Ralph's Vivienda Universitaria,456,246,413,Y
288,288,Isaac's Vivienda Universitaria,474,420,368,Y
289,289,Mary's Vivienda Universitaria,459,481,166,N
290,290,Kelli's Vivienda Universitaria,157,433,370,N
291,291,Michael's Vivienda Universitaria,470,227,661,Y
292,292,Peggy's Vivienda Universitaria,355,221,449,Y
293,293,Amanda's Vivienda Universitaria,413,117,770,Y
294,294,Kathryn's Vivienda Universitaria,221,195,631,Y
295,295,Lorraine's Vivienda Universitaria,169,215,717,N
296,296,Samuel's Vivienda Universitaria,301,458,718,Y
297,297,Clay's Vivienda Universitaria,239,348,356,N
298,298,Shelly's Vivienda Universitaria,265,263,877,Y
299,299,Angelita's Vivienda Universitaria,203,301,262,Y
300,300,Mack's Vivienda Universitaria,316,365,781,Y
301,301,Delmar's Vivienda Universitaria,132,317,545,Y
302,302,Robert's Vivienda Universitaria,314,377,234,Y
303,303,Sherry's Vivienda Universitaria,119,460,429,Y
304,304,Stacey's Vivienda Universitaria,288,258,536,Y
305,305,Jeffrey's Vivienda Universitaria,428,185,234,N
306,306,David's Vivienda Universitaria,215,231,581,Y
307,307,Regina's Vivienda Universitaria,107,466,749,N
308,308,Parker's Vivienda Universitaria,399,377,980,Y
309,309,Francisco's Vivienda Universitaria,204,424,701,N
310,310,Lori's Vivienda Universitaria,312,436,227,N
311,311,Chris's Vivienda Universitaria,226,107,704,N
312,312,Duane's Vivienda Universitaria,260,439,749,Y
313,313,Danielle's Vivienda Universitaria,371,360,341,Y
314,314,Michael's Vivienda Universitaria,447,240,260,N
315,315,Kristen's Vivienda Universitaria,178,236,365,N
316,316,Ida's Vivienda Universitaria,412,271,159,Y
317,317,Marlon's Vivienda Universitaria,127,412,454,N
318,318,Wendy's Vivienda Universitaria,472,422,262,N
319,319,Luther's Vivienda Universitaria,358,296,739,Y
320,320,Linda's Vivienda Universitaria,356,231,566,N
321,321,Rodney's Vivienda Universitaria,336,312,149,N
322,322,Anna's Vivienda Universitaria,278,494,351,N
323,323,Loretta's Vivienda Universitaria,388,256,914,N
324,324,Rachel's Vivienda Universitaria,173,401,380,Y
325,325,Anna's Vivienda Universitaria,471,322,990,Y
326,326,Leonard's Vivienda Universitaria,151,160,537,N
327,327,Brigitte's Vivienda Universitaria,158,296,331,Y
328,328,Lisa's Vivienda Universitaria,250,385,755,Y
329,329,Harry's Vivienda Universitaria,263,108,490,N
330,330,Ida's Vivienda Universitaria,420,266,383,N
331,331,Thomas's Vivienda Universitaria,430,401,730,Y
332,332,Marta's Vivienda Universitaria,318,498,114,N
333,333,Pauline's Vivienda Universitaria,299,438,929,N
334,334,Dennis's Vivienda Universitaria,110,100,739,N
335,335,Felisha's Vivienda Universitaria,305,433,695,N
336,336,Marta's Vivienda Universitaria,117,480,732,Y
337,337,Constance's Vivienda Universitaria,319,431,826,Y
338,338,Deborah's Vivienda Universitaria,154,459,948,Y
339,339,David's Vivienda Universitaria,302,146,533,Y
340,340,Connie's Vivienda Universitaria,117,421,122,Y
341,341,Mary's Vivienda Universitaria,118,148,201,N
342,342,Rose's Vivienda Universitaria,395,220,205,Y
343,343,Patricia's Vivienda Universitaria,447,332,256,N
344,344,Sandra's Vivienda Universitaria,311,351,738,Y
345,345,Wendy's Vivienda Universitaria,296,188,139,N
346,346,Miriam's Vivienda Universitaria,115,173,435,Y
347,347,Haywood's Vivienda Universitaria,298,417,105,N
348,348,Mandy's Vivienda Universitaria,462,410,317,N
349,349,Douglas's Vivienda Universitaria,168,413,201,N
350,350,Gail's Vivienda Universitaria,469,273,685,Y
351,351,Thomas's Vivienda Universitaria,375,321,417,N
352,352,Jacob's Vivienda Universitaria,486,304,675,Y
353,353,Huey's Vivienda Universitaria,195,465,422,Y
354,354,Kelsey's Vivienda Universitaria,223,272,884,Y
355,355,Roy's Vivienda Universitaria,117,413,496,N
356,356,Reid's Vivienda Universitaria,500,300,727,N
357,357,Opal's Vivienda Universitaria,173,406,756,N
358,358,Mark's Vivienda Universitaria,180,201,693,Y
359,359,Wanda's Vivienda Universitaria,206,156,110,Y
360,360,Kaci's Vivienda Universitaria,112,275,432,Y
361,361,Evan's Vivienda Universitaria,493,182,421,N
362,362,Elizabeth's Vivienda Universitaria,250,443,135,Y
363,363,Marie's Vivienda Universitaria,375,261,683,Y
364,364,William's Vivienda Universitaria,452,245,341,N
365,365,Michael's Vivienda Universitaria,379,446,321,N
366,366,Eileen's Vivienda Universitaria,491,357,230,Y
367,367,Sarah's Vivienda Universitaria,447,239,332,N
368,368,Wallace's Vivienda Universitaria,377,369,127,N
369,369,Francesca's Vivienda Universitaria,426,482,116,Y
370,370,Diego's Vivienda Universitaria,338,336,505,Y
371,371,Melvin's Vivienda Universitaria,169,305,629,N
372,372,Anthony's Vivienda Universitaria,400,387,284,N
373,373,Darrell's Vivienda Universitaria,189,211,356,Y
374,374,Robert's Vivienda Universitaria,174,378,243,Y
375,375,Ward's Vivienda Universitaria,365,187,937,Y
376,376,Veronica's Vivienda Universitaria,161,194,288,N
377,377,Doris's Vivienda Universitaria,356,315,322,N
378,378,Verna's Vivienda Universitaria,227,249,560,N
379,379,Peter's Vivienda Universitaria,397,460,612,N
380,380,Jimmy's Vivienda Universitaria,229,488,997,N
381,381,Larry's Vivienda Universitaria,383,360,713,Y
382,382,Brian's Vivienda Universitaria,325,328,866,N
383,383,Ralph's Vivienda Universitaria,145,459,250,Y
384,384,Mary's Vivienda Universitaria,299,294,593,Y
385,385,Jeannie's Vivienda Universitaria,392,132,725,Y
386,386,Danielle's Vivienda Universitaria,379,452,631,N
387,387,Gloria's Vivienda Universitaria,329,211,566,N
388,388,Yvette's Vivienda Universitaria,207,494,903,N
389,389,Fannie's Vivienda Universitaria,362,419,570,N
390,390,Julio's Vivienda Universitaria,329,223,692,Y
391,391,Robert's Vivienda Universitaria,493,402,490,Y
392,392,Suk's Vivienda Universitaria,378,153,211,Y
393,393,Hattie's Vivienda Universitaria,280,208,720,N
394,394,Susan's Vivienda Universitaria,443,448,280,Y
395,395,Tracy's Vivienda Universitaria,195,237,880,Y
396,396,Julia's Vivienda Universitaria,401,304,968,Y
397,397,Donna's Vivienda Universitaria,421,304,588,N
398,398,Blanche's Vivienda Universitaria,115,271,988,N
399,399,Roseann's Vivienda Universitaria,398,483,929,Y
400,400,Jamie's Vivienda Universitaria,245,197,695,N
401,401,Catherine's Vivienda Universitaria,267,259,618,N
402,402,Judith's Vivienda Universitaria,240,134,354,N
403,403,Jill's Vivienda Universitaria,271,326,638,N
404,404,Clarence's Vivienda Universitaria,237,126,717,N
405,405,Denise's Vivienda Universitaria,355,473,710,Y
406,406,Sarah's Vivienda Universitaria,158,282,443,Y
407,407,Isaac's Vivienda Universitaria,181,213,523,Y
408,408,Monique's Vivienda Universitaria,348,101,264,N
409,409,Jacqueline's Vivienda Universitaria,361,190,586,N
410,410,Gary's Vivienda Universitaria,485,333,488,Y
411,411,Daniel's Vivienda Universitaria,451,441,667,Y
412,412,Jeffrey's Vivienda Universitaria,288,284,563,N
413,413,Cynthia's Vivienda Universitaria,216,442,198,N
414,414,Holly's Vivienda Universitaria,280,235,995,Y
415,415,Michael's Vivienda Universitaria,351,147,807,Y
416,416,Anthony's Vivienda Universitaria,139,262,657,N
417,417,Sophie's Vivienda Universitaria,485,493,288,Y
418,418,John's Vivienda Universitaria,260,261,532,N
419,419,Colette's Vivienda Universitaria,373,319,451,N
420,420,Lloyd's Vivienda Universitaria,225,360,948,Y
421,421,Phyllis's Vivienda Universitaria,496,270,265,N
422,422,Janice's Vivienda Universitaria,172,172,438,N
423,423,Debra's Vivienda Universitaria,475,354,333,Y
424,424,Olivia's Vivienda Universitaria,250,243,428,Y
425,425,Olga's Vivienda Universitaria,213,235,683,Y
426,426,Deena's Vivienda Universitaria,485,259,750,Y
427,427,Kathryn's Vivienda Universitaria,116,268,490,N
428,428,Ervin's Vivienda Universitaria,238,341,940,N
429,429,Ronald's Vivienda Universitaria,378,176,732,Y
430,430,Juanita's Vivienda Universitaria,398,448,257,Y
431,431,Frank's Vivienda Universitaria,311,344,555,Y
432,432,Dora's Vivienda Universitaria,229,222,487,N
433,433,Patrica's Vivienda Universitaria,185,476,795,Y
434,434,Frank's Vivienda Universitaria,320,272,923,Y
435,435,Max's Vivienda Universitaria,494,200,216,Y
436,436,Dixie's Vivienda Universitaria,365,284,809,Y
437,437,Stanley's Vivienda Universitaria,100,156,335,Y
438,438,Thomas's Vivienda Universitaria,409,208,353,N
439,439,Bernardo's Vivienda Universitaria,231,175,917,N
440,440,Laura's Vivienda Universitaria,277,317,144,Y
441,441,Michael's Vivienda Universitaria,186,445,151,N
442,442,Quinn's Vivienda Universitaria,349,187,516,N
443,443,Sherry's Vivienda Universitaria,356,337,137,N
444,444,Kristine's Vivienda Universitaria,416,293,233,Y
445,445,Janis's Vivienda Universitaria,222,318,753,N
446,446,Emma's Vivienda Universitaria,494,253,689,Y
447,447,Theresa's Vivienda Universitaria,181,217,379,Y
448,448,Alexis's Vivienda Universitaria,193,381,409,Y
449,449,Walter's Vivienda Universitaria,332,370,160,Y
450,450,Naomi's Vivienda Universitaria,307,452,879,Y
451,451,William's Vivienda Universitaria,126,329,920,N
452,452,Jeffrey's Vivienda Universitaria,111,479,599,N
453,453,Louis's Vivienda Universitaria,104,138,927,N
454,454,Marie's Vivienda Universitaria,141,481,431,N
455,455,Taylor's Vivienda Universitaria,187,133,803,Y
456,456,Sherry's Vivienda Universitaria,114,487,604,N
457,457,Mallory's Vivienda Universitaria,465,334,873,N
458,458,Stacey's Vivienda Universitaria,359,357,357,N
459,459,John's Vivienda Universitaria,100,354,194,Y
460,460,Elena's Vivienda Universitaria,353,391,142,N
461,461,John's Vivienda Universitaria,405,390,672,N
462,462,Peter's Vivienda Universitaria,391,428,130,Y
463,463,Richard's Vivienda Universitaria,211,370,493,Y
464,464,Craig's Vivienda Universitaria,454,401,850,N
465,465,Roy's Vivienda Universitaria,297,306,919,Y
466,466,Michelle's Vivienda Universitaria,495,174,258,N
467,467,Natasha's Vivienda Universitaria,183,253,572,Y
468,468,Mary's Vivienda Universitaria,244,376,928,N
469,469,Milton's Vivienda Universitaria,405,298,150,Y
470,470,Pamela's Vivienda Universitaria,225,415,872,N
471,471,Teresa's Vivienda Universitaria,425,344,317,Y
472,472,Rene's Vivienda Universitaria,483,186,946,Y
473,473,Helene's Vivienda Universitaria,275,119,872,N
474,474,Werner's Vivienda Universitaria,340,106,499,N
475,475,Mark's Vivienda Universitaria,327,233,312,N
476,476,Marion's Vivienda Universitaria,415,419,720,N
477,477,David's Vivienda Universitaria,112,417,404,N
478,478,Susan's Vivienda Universitaria,393,172,816,N
479,479,Carly's Vivienda Universitaria,500,310,253,N
480,480,Harold's Vivienda Universitaria,346,418,767,Y
481,481,James's Vivienda Universitaria,412,224,619,Y
482,482,Kisha's Vivienda Universitaria,300,199,221,N
483,483,Carol's Vivienda Universitaria,375,437,818,Y
484,484,Daisy's Vivienda Universitaria,117,295,751,Y
485,485,Carla's Vivienda Universitaria,469,191,120,N
486,486,William's Vivienda Universitaria,398,298,421,N
487,487,Ivonne's Vivienda Universitaria,204,490,213,Y
488,488,Sheryl's Vivienda Universitaria,495,478,229,Y
489,489,Richard's Vivienda Universitaria,207,346,483,N
490,490,Rebecca's Vivienda Universitaria,309,174,639,Y
491,491,Ida's Vivienda Universitaria,293,194,291,Y
492,492,Eddie's Vivienda Universitaria,372,394,119,Y
493,493,Lauren's Vivienda Universitaria,400,485,537,Y
494,494,Norma's Vivienda Universitaria,446,450,972,N
