IDALOJAMIENTO,COMIDAS,TIPOBANIO,TIPOHABITACION,DTOMESEXTRA,IDENTIFICACIONOPERADORUSUARIO
484,3,compartido,individual,55,11477
485,2,privado,individual,40,15059
486,3,compartido,individual,36,12301
487,2,privado,compartido,10,5361
488,3,privado,compartido,65,1554
489,1,compartido,individual,70,14839
490,0,privado,compartido,13,9869
491,0,privado,compartido,11,31546
492,3,privado,individual,75,8755
493,0,compartido,individual,5,11412
494,1,privado,compartido,96,29578
495,3,compartido,compartido,42,24707
496,0,compartido,individual,46,13721
497,2,compartido,compartido,51,17897
498,1,privado,compartido,35,44228
499,0,privado,compartido,12,6933
500,2,compartido,individual,94,13242
501,2,privado,compartido,87,2661
502,0,privado,compartido,66,43516
503,0,privado,individual,22,35053
504,0,privado,individual,96,11933
505,0,compartido,individual,67,33393
506,3,privado,compartido,99,108
507,2,privado,compartido,61,3700
508,2,compartido,compartido,77,8633
509,3,compartido,compartido,5,13772
510,1,privado,individual,98,11360
511,1,privado,compartido,90,25056
512,3,compartido,individual,46,8051
513,1,privado,individual,30,42943
514,1,compartido,compartido,94,38929
515,3,privado,individual,61,33553
516,3,compartido,individual,52,19253
517,0,privado,compartido,58,12691
518,2,privado,compartido,99,24923
519,2,compartido,compartido,27,12922
520,0,privado,individual,75,10423
521,0,compartido,compartido,21,17798
522,1,compartido,individual,24,38880
523,2,compartido,individual,34,20123
524,2,compartido,individual,22,22075
525,2,compartido,individual,50,29435
526,0,privado,individual,90,40553
527,3,compartido,individual,56,47863
528,3,privado,individual,100,40201
529,0,privado,compartido,18,46062
530,3,compartido,compartido,27,23593
531,0,privado,individual,28,42514
532,0,compartido,compartido,63,23203
533,0,privado,individual,75,2337
534,2,compartido,compartido,94,7367
535,0,privado,individual,12,28852
536,1,privado,individual,77,15102
537,3,privado,individual,16,9076
538,0,privado,compartido,19,11028
539,3,privado,individual,73,11610
540,2,compartido,compartido,25,47036
541,0,compartido,individual,17,41578
542,1,compartido,individual,30,37029
543,2,privado,individual,62,21390
544,3,privado,individual,85,35255
545,0,compartido,compartido,31,15553
546,2,privado,individual,66,43960
547,2,privado,individual,97,48543
548,1,compartido,compartido,37,7768
549,2,privado,individual,33,5847
550,0,privado,compartido,50,23488
551,0,compartido,compartido,66,42821
552,0,privado,compartido,52,29987
553,3,compartido,individual,48,15007
554,0,privado,individual,19,16493
555,0,compartido,compartido,49,12810
556,0,compartido,compartido,32,30844
557,1,privado,individual,1,39331
558,3,compartido,compartido,55,26201
559,0,compartido,individual,28,44802
560,2,compartido,compartido,18,42624
561,2,privado,individual,36,40706
562,1,compartido,individual,5,1434
563,2,privado,compartido,36,40894
564,2,compartido,individual,88,29535
565,1,compartido,individual,71,14857
566,1,privado,individual,50,3916
567,2,compartido,individual,62,27151
568,1,compartido,individual,100,36682
569,0,privado,individual,65,40704
570,0,privado,individual,78,23325
571,0,compartido,compartido,38,26003
572,2,privado,individual,87,15558
573,1,compartido,compartido,59,13069
574,2,compartido,individual,32,4492
575,2,privado,individual,83,36461
576,3,compartido,individual,48,10013
577,1,compartido,compartido,80,16121
578,2,compartido,individual,28,3343
579,2,privado,compartido,97,45250
580,0,compartido,individual,18,38541
581,0,privado,compartido,84,29001
582,2,compartido,individual,90,19780
583,0,privado,individual,16,49166
584,2,privado,compartido,77,25385
585,2,compartido,individual,49,7059
586,0,compartido,compartido,16,38166
587,1,compartido,individual,100,33646
588,2,privado,compartido,37,23776
589,3,privado,individual,11,41020
590,0,privado,individual,75,24320
591,2,privado,individual,58,32834
592,0,compartido,compartido,36,12567
593,1,privado,individual,22,22288
594,3,compartido,individual,68,45982
595,3,compartido,compartido,35,40530
596,2,privado,compartido,36,9704
597,0,compartido,compartido,8,37731
598,2,privado,individual,26,42400
599,1,privado,individual,24,45583
600,0,compartido,compartido,33,22776
601,0,privado,individual,25,6091
602,0,compartido,individual,19,32436
603,2,compartido,compartido,99,16963
604,1,compartido,compartido,60,40909
605,1,compartido,compartido,88,3920
606,0,privado,compartido,63,25201
607,2,privado,compartido,7,49976
608,0,privado,compartido,31,23507
609,1,compartido,individual,98,29605
610,0,compartido,compartido,12,13005
611,3,compartido,compartido,58,34142
612,2,privado,individual,98,3926
613,3,privado,compartido,80,44913
614,3,compartido,compartido,35,31045
615,1,compartido,individual,66,534
616,2,compartido,compartido,1,1351
617,2,compartido,compartido,18,29692
618,1,privado,individual,83,34232
619,0,compartido,compartido,23,7868
620,0,privado,compartido,93,29852
621,0,compartido,individual,89,21537
622,2,compartido,compartido,47,36435
623,1,compartido,individual,28,15223
624,0,privado,compartido,67,37830
625,0,compartido,compartido,24,10553
626,2,compartido,compartido,47,43985
627,0,privado,compartido,9,27519
628,2,compartido,individual,38,47985
629,1,privado,individual,29,44407
630,0,privado,compartido,98,5123
631,2,privado,compartido,28,33501
632,1,privado,individual,72,9946
633,0,privado,compartido,51,36673
634,0,privado,individual,38,16947
635,2,privado,individual,45,11868
636,0,compartido,individual,63,11999
637,3,privado,compartido,71,13054
638,2,privado,individual,98,9035
639,0,privado,individual,75,41128
640,0,compartido,individual,18,45878
641,0,privado,individual,97,28836
642,0,privado,compartido,89,13984
643,1,compartido,individual,45,2587
644,2,compartido,individual,65,6122
645,2,compartido,individual,40,14594
646,2,compartido,individual,50,18770
647,3,compartido,individual,31,18457
648,0,compartido,compartido,66,45866
649,3,privado,individual,39,14053
650,2,privado,individual,76,48036
651,3,privado,individual,46,38337
652,2,privado,individual,31,14031
653,0,privado,compartido,64,38155
654,0,privado,compartido,75,7513
655,3,compartido,compartido,69,2745
656,1,privado,individual,33,32624
657,1,privado,individual,88,13244
658,3,compartido,individual,98,33799
659,3,privado,compartido,81,46590
660,3,privado,individual,32,45318
661,0,privado,individual,67,19551
662,1,compartido,compartido,19,1969
663,2,privado,individual,36,39028
664,2,compartido,individual,41,21851
665,2,privado,individual,69,7048
666,2,compartido,compartido,72,48265
667,0,privado,individual,12,32741
668,1,compartido,compartido,78,21172
669,2,compartido,compartido,62,33064
670,2,compartido,individual,19,42524
671,3,privado,individual,49,10902
672,1,compartido,compartido,89,47335
673,3,compartido,individual,62,9309
674,1,compartido,compartido,34,10980
675,2,privado,individual,64,41824
676,0,compartido,compartido,100,45075
677,2,compartido,individual,31,35269
678,3,compartido,individual,51,33523
679,1,privado,compartido,20,21868
680,3,compartido,individual,33,15094
681,1,privado,individual,66,17480
682,0,compartido,compartido,16,39292
683,3,privado,individual,70,13681
684,2,compartido,compartido,22,19781
685,0,compartido,compartido,95,17598
686,1,privado,individual,87,45586
687,2,privado,individual,53,2370
688,3,privado,compartido,73,12761
689,3,compartido,individual,78,41562
690,2,privado,compartido,33,44433
691,2,privado,compartido,52,24687
692,3,compartido,individual,56,19958
693,3,compartido,compartido,12,32492
694,3,compartido,compartido,40,33414
695,3,compartido,compartido,56,31926
696,0,privado,individual,75,36649
697,2,privado,compartido,60,14910
698,1,privado,individual,69,46594
699,2,compartido,individual,97,37413
700,1,compartido,individual,57,13075
701,1,compartido,individual,13,42498
702,0,compartido,individual,31,25415
703,2,compartido,compartido,31,12117
704,1,privado,individual,38,38779
705,1,privado,individual,63,3279
706,3,compartido,individual,86,46661
707,2,compartido,compartido,65,41641
708,1,compartido,compartido,4,40922
709,3,privado,individual,28,34951
710,2,privado,compartido,10,18684
711,3,privado,individual,73,11002
712,3,privado,compartido,43,10483
713,3,privado,compartido,18,16179
714,3,privado,compartido,36,778
715,0,privado,individual,79,22063
716,0,privado,individual,39,31159
717,2,compartido,compartido,81,11833
718,1,compartido,compartido,25,35388
719,0,compartido,individual,29,22447
720,0,compartido,individual,14,13404
721,2,privado,individual,67,9408
722,2,privado,individual,53,40721
723,3,privado,compartido,40,25918
724,2,privado,individual,94,19422
725,3,privado,individual,85,9426
726,1,privado,compartido,89,33993
727,2,compartido,compartido,46,5801
728,0,privado,compartido,62,16031
729,3,compartido,compartido,10,5626
730,3,compartido,compartido,38,20098
731,0,privado,individual,13,35575
732,0,privado,compartido,30,30715
733,2,privado,compartido,91,3106
734,2,compartido,individual,76,24053
735,0,privado,compartido,69,28384
736,0,compartido,compartido,93,48544
737,3,privado,individual,60,5076
738,1,privado,individual,17,33079
739,0,compartido,individual,19,33127
740,0,compartido,individual,35,6397
741,2,privado,individual,96,16271
742,1,compartido,individual,67,24986
743,3,compartido,compartido,65,34991
744,1,compartido,individual,42,17190
745,2,compartido,compartido,17,30697
746,3,compartido,compartido,7,21170
747,3,compartido,compartido,94,12769
748,0,privado,individual,46,41948
749,0,privado,individual,76,23799
750,2,compartido,compartido,96,11588
751,2,privado,compartido,39,45336
752,1,compartido,individual,7,24492
753,2,privado,individual,9,48112
754,0,privado,compartido,71,48995
755,2,privado,compartido,96,20695
756,0,compartido,individual,40,4572
757,1,compartido,compartido,70,40532
758,1,compartido,individual,76,45236
759,2,compartido,individual,65,31917
760,3,compartido,compartido,63,27399
761,0,privado,compartido,90,27323
762,3,privado,compartido,75,43532
763,1,compartido,individual,38,21274
764,1,privado,individual,74,28661
765,3,privado,compartido,17,17285
766,0,privado,compartido,99,34401
767,2,privado,individual,100,15509
768,1,compartido,individual,18,35049
769,3,compartido,individual,70,9348
770,2,compartido,individual,45,39359
771,3,compartido,compartido,37,3563
772,3,compartido,individual,75,41253
773,1,compartido,individual,45,4665
774,2,compartido,individual,54,21766
775,3,privado,individual,28,14367
776,2,compartido,individual,18,32570
777,1,privado,individual,93,46533
778,3,privado,individual,63,12051
779,1,compartido,compartido,4,30438
780,1,privado,compartido,10,24211
781,0,compartido,individual,64,16781
782,2,privado,compartido,2,10370
783,1,privado,compartido,36,41929
784,1,privado,compartido,63,42143
785,3,privado,compartido,81,15089
786,1,privado,compartido,92,8780
787,2,compartido,compartido,43,1665
788,3,privado,compartido,84,41857
789,0,privado,individual,34,41602
790,0,compartido,compartido,10,28055
791,2,compartido,individual,60,48263
792,3,compartido,individual,85,22766
793,3,compartido,compartido,65,46050
794,2,compartido,compartido,100,28155
795,2,compartido,individual,54,4912
796,1,compartido,individual,69,38398
797,0,privado,individual,25,35359
798,0,compartido,individual,89,21350
799,0,compartido,individual,35,13576
800,0,privado,compartido,31,32530
801,1,compartido,individual,35,40431
802,2,privado,compartido,38,9405
803,1,compartido,individual,63,25109
804,2,privado,compartido,45,14294
805,2,privado,compartido,36,30773
806,1,privado,compartido,14,25552
807,1,compartido,compartido,43,4929
808,2,compartido,individual,88,11555
809,1,privado,individual,64,3664
810,3,compartido,compartido,6,4149
811,1,compartido,compartido,44,39106
812,2,privado,individual,3,45750
813,0,privado,compartido,82,20204
814,3,compartido,compartido,35,20981
815,2,privado,compartido,97,24899
816,2,compartido,compartido,73,30769
817,1,compartido,compartido,59,42621
818,2,compartido,individual,19,47980
819,1,privado,individual,85,10638
820,2,privado,individual,7,8182
821,2,compartido,compartido,84,18663
822,2,compartido,individual,26,7154
823,0,compartido,individual,10,24943
824,0,compartido,individual,83,29624
825,1,compartido,individual,1,25878
826,0,compartido,compartido,28,32099
827,0,compartido,individual,69,3804
828,3,privado,individual,49,37381
829,1,compartido,compartido,65,49915
830,2,privado,individual,74,6309
831,3,privado,compartido,52,21790
832,3,compartido,compartido,11,5217
833,2,compartido,compartido,21,45111
834,3,privado,compartido,63,34385
835,2,privado,compartido,51,26471
836,2,compartido,compartido,57,13577
837,2,privado,individual,66,6474
838,3,privado,individual,60,23768
839,2,compartido,individual,78,934
840,2,privado,compartido,72,47007
841,3,compartido,compartido,50,38501
842,1,privado,individual,50,14769
843,1,privado,compartido,69,45173
844,1,compartido,individual,75,25774
845,2,compartido,compartido,32,36492
846,0,privado,compartido,36,12212
847,0,compartido,compartido,55,23998
848,0,privado,compartido,39,36531
849,2,compartido,compartido,26,13523
850,0,privado,compartido,56,31524
851,1,privado,compartido,15,24354
852,0,privado,compartido,95,37712
853,1,compartido,compartido,32,44777
854,1,compartido,individual,80,23806
855,0,privado,compartido,51,23222
856,2,privado,individual,62,5387
857,3,compartido,individual,88,13638
858,0,compartido,compartido,41,12195
859,1,privado,compartido,57,15487
860,2,privado,individual,82,40604
861,0,privado,individual,16,6495
862,2,compartido,individual,24,43470
863,3,compartido,individual,75,43875
864,0,compartido,individual,56,32706
865,3,privado,compartido,2,15195
866,1,privado,compartido,60,48622
867,0,privado,compartido,80,14484
