IDALOJAMIENTO,IDSERVICIO,COSTO
163225,11,144
219716,6,185
229934,5,469
164926,6,491
152034,2,195
212363,6,694
220476,7,492
171958,2,348
161934,11,849
189971,7,784
227304,13,152
212963,11,552
163765,4,893
206761,4,254
176550,10,895
153442,4,710
164349,7,257
202762,5,669
175149,7,932
173997,12,963
200476,5,286
206753,13,818
195777,6,257
166074,6,762
186471,13,203
150289,4,991
167775,5,499
197972,3,533
169720,9,368
206731,1,355
202217,2,570
211847,5,282
183412,12,794
172066,9,279
160850,4,836
225675,2,663
203893,7,678
170683,9,930
192239,1,485
150972,1,589
170652,9,364
185743,4,231
215114,8,399
211320,7,239
224791,5,691
183499,5,579
201539,1,333
180104,9,548
212709,2,722
169690,4,742
220338,6,343
187573,8,259
188011,5,847
188601,10,464
161577,13,925
195466,13,511
220345,10,278
168517,4,264
222644,7,442
175982,11,804
171717,10,894
225044,10,141
164934,2,669
183741,1,961
179966,12,606
220560,10,184
206888,12,262
174078,2,659
166681,2,466
192257,4,684
217231,1,177
188797,11,101
156245,3,714
216965,2,983
152156,1,211
212936,4,559
187790,2,834
163802,2,333
172549,12,203
191174,8,271
211860,10,107
211412,2,758
192126,13,683
180113,3,527
185186,11,142
170201,8,781
188413,6,275
207957,1,545
188820,12,382
218330,6,984
201150,6,981
229878,11,425
214265,9,823
214344,7,168
178414,12,481
229938,6,912
211791,5,283
170784,13,311
228849,12,651
179185,2,393
224447,5,540
185102,3,991
215598,11,257
170845,3,696
210442,12,933
154528,7,906
173435,10,549
219293,7,512
184085,8,505
170943,1,501
225275,6,375
213532,3,626
170634,4,784
212089,12,565
215656,7,890
151522,4,668
173812,3,361
167681,12,193
193253,5,199
164679,2,535
207969,8,516
177353,3,861
188814,1,726
156937,12,607
212398,10,362
198186,11,309
208426,12,670
186162,4,506
185357,13,609
161306,3,200
191137,3,688
166286,2,483
202681,13,704
195230,13,251
167722,12,724
194968,4,438
178985,11,318
217012,11,477
226537,4,508
174856,8,662
219459,10,722
153369,3,523
201965,3,567
179944,5,794
213864,10,583
218414,1,876
199314,11,813
209798,5,604
196327,1,158
150261,5,632
161228,1,222
161316,3,510
184893,11,981
223136,3,810
205606,2,495
204934,10,224
221404,11,134
203171,13,307
224351,10,279
180358,13,862
209691,7,792
228530,9,134
167472,10,311
167723,10,421
209244,2,379
192006,13,502
175407,1,928
168447,1,476
157292,8,372
164643,8,524
164850,7,699
220873,13,600
191385,7,566
154159,3,296
178318,2,788
167227,10,759
187302,6,186
209986,12,164
209567,10,162
219852,5,899
192709,7,193
159240,2,195
168271,7,721
152108,4,513
150553,13,860
196714,13,815
178379,9,459
160645,6,873
211559,8,307
204166,12,537
175416,11,474
226067,1,355
185364,1,608
181048,2,924
159314,4,778
207332,4,186
190608,7,451
212012,2,180
189010,8,360
160999,1,420
195820,5,918
175468,9,197
179927,11,122
185717,8,979
152890,1,112
198258,4,498
209287,4,145
211045,11,796
184786,6,378
214531,13,264
164330,13,606
218774,6,288
187205,13,576
202622,1,454
205568,6,986
199455,1,786
222863,10,496
208509,5,229
211321,12,978
180453,4,623
216082,5,386
209395,5,203
162681,13,380
218458,8,723
214381,7,712
179337,2,507
159281,7,873
173167,12,977
169377,8,494
190406,5,670
187611,2,812
151186,12,760
182992,4,629
167646,10,871
159522,7,444
174488,12,290
162570,3,355
191398,6,185
193168,8,533
193589,13,680
219870,13,433
223715,13,534
154285,5,776
188676,12,583
166084,12,642
178138,9,230
160800,4,284
152771,1,709
173103,5,336
189990,3,313
228954,11,788
185644,5,345
180874,9,503
218915,4,871
197843,8,548
212362,11,458
225260,12,221
217363,13,972
186883,12,757
174459,2,543
227191,12,697
201114,4,379
225917,8,810
181622,7,938
190075,3,411
194274,7,638
151915,6,659
182853,2,455
212647,13,712
223415,3,537
183389,12,962
218644,3,720
213159,12,391
189734,4,325
186693,11,690
198977,10,770
161245,6,604
228986,8,553
174631,7,446
170139,11,826
196937,2,486
152057,7,784
196066,5,803
191896,12,862
228214,3,343
210874,3,471
177206,2,338
168626,4,257
219309,7,336
162148,6,665
160712,12,992
193675,6,658
202048,4,479
178221,8,279
160196,1,445
220186,5,147
174561,2,578
214136,2,440
183140,3,486
185324,3,570
179988,5,445
178586,8,461
193974,1,458
188783,7,845
175619,12,178
163456,8,363
198291,4,161
225562,12,596
184261,3,214
220252,5,393
155590,3,498
209305,7,923
221464,5,250
211126,11,543
200760,2,540
157305,4,629
180731,9,270
197155,7,874
164167,5,981
151488,7,699
176225,8,949
174252,3,746
170071,2,448
172182,6,465
186169,11,992
197178,9,477
161572,6,475
177642,11,307
150450,5,706
192568,3,171
228597,9,288
222852,6,140
159347,13,534
150209,4,626
150534,2,231
174039,8,809
227105,6,130
186994,2,115
214417,3,476
179145,5,795
188593,2,379
152669,11,851
175717,9,437
192826,4,534
201414,5,269
194174,8,986
185884,9,694
176506,8,619
181477,7,889
226801,3,864
226707,9,967
194402,3,175
227944,3,648
224204,6,970
152536,9,686
165175,4,379
216374,11,233
163664,9,590
159021,8,778
165446,3,963
168145,9,459
170629,9,425
184275,8,906
187086,6,774
169647,7,518
215940,12,921
214268,1,515
153456,7,919
200942,6,779
175790,10,861
210920,13,235
192148,5,680
218293,3,172
211421,10,354
150649,1,400
171703,7,790
204934,11,892
161412,6,943
177245,7,927
216798,10,572
160694,3,331
200715,9,765
157967,11,878
185414,8,796
156737,4,358
174285,10,814
178211,8,552
158163,8,589
169177,6,739
188969,13,983
223797,6,269
186017,7,109
222252,1,474
180792,7,461
163465,10,233
211503,1,512
220651,8,996
161480,1,450
206557,12,580
163886,1,845
158783,1,261
229568,8,277
166614,10,726
184684,3,483
208964,7,986
184136,4,618
153160,10,979
196497,7,859
211898,3,888
152350,6,670
204461,5,977
196621,6,296
168905,4,909
198510,10,788
190747,11,427
155117,3,685
182424,12,331
150839,1,739
216130,2,442
210825,5,229
153262,9,656
204033,11,577
171084,7,417
196769,4,451
164974,12,582
206313,1,390
213701,4,229
199515,6,285
186223,7,684
221525,3,480
164318,8,472
151139,9,192
165537,13,554
191299,6,567
206755,10,737
213129,13,185
227612,9,862
215962,13,843
191884,13,117
160206,13,762
198481,9,150
175281,8,169
224882,12,454
155727,7,152
210180,13,566
181505,1,820
208018,1,596
209090,12,469
170698,1,542
182626,11,942
226153,7,608
151209,2,141
188568,1,438
155204,8,970
184554,13,159
200176,1,546
161362,4,362
218673,1,685
189880,11,316
228564,6,338
194956,13,879
206984,12,612
169982,12,718
152240,9,539
153823,4,369
157524,5,946
172333,9,864
190358,2,486
153035,11,995
203554,5,350
162026,9,552
157671,5,331
180222,4,475
193695,4,935
176671,11,549
177261,9,756
202754,10,506
151850,11,446
185456,3,838
162319,5,441
154083,4,555
229868,9,514
214024,7,921
184460,3,287
165373,7,595
185969,12,332
183507,5,171
196561,10,157
157993,4,911
193284,10,373
176621,1,613
202949,5,952
187512,10,211
212542,6,178
178063,4,531
165723,9,946
164148,10,575
179894,9,472
206519,13,572
222149,11,304
170654,4,766
210741,4,987
208004,9,137
170969,13,111
193375,4,398
158711,11,421
223313,5,225
158772,5,763
167475,10,876
210178,5,550
191202,6,609
223657,8,666
216733,7,388
173579,8,274
228235,7,777
194437,13,153
220124,12,261
194573,7,446
185232,4,680
154303,12,514
201865,6,497
166653,13,376
216149,7,138
177948,11,278
201473,12,664
225209,13,844
214185,9,614
197542,2,507
221598,4,297
201087,8,785
153573,12,507
204029,3,897
225497,1,442
198507,3,909
181654,2,102
159747,5,410
197326,12,167
215340,3,127
211415,3,377
170091,6,628
152938,12,362
184519,6,680
225832,10,651
192667,1,302
198977,8,933
206314,10,892
179094,8,799
156608,10,237
213434,8,239
168756,5,340
221551,3,946
164794,2,280
197377,8,399
219614,12,200
203954,13,493
190332,6,234
176370,6,439
157979,7,546
213875,8,678
217502,4,380
167855,6,404
190257,12,283
180656,5,207
217880,2,279
211547,8,631
229594,10,285
208463,1,757
223744,3,789
194046,2,385
152165,3,785
214600,4,378
188392,8,185
209462,9,475
162137,5,651
184855,4,683
208786,3,954
186474,12,404
164655,12,808
221796,2,883
152623,7,921
161164,4,825
156155,10,423
218615,6,377
192350,7,696
166216,2,272
156379,6,889
227836,11,667
186572,12,370
162158,8,950
170418,12,347
212272,7,920
217675,4,457
218690,7,387
201094,12,599
186861,8,935
204698,2,282
187508,8,475
194510,2,404
165571,9,651
196155,11,306
207728,8,212
189533,1,439
215564,13,860
210815,10,152
205628,12,389
152397,4,280
190236,12,429
184120,3,323
213017,6,241
152357,1,291
166901,5,728
152078,12,285
187841,2,153
157860,13,241
171550,8,153
185973,4,170
204587,6,937
167616,12,713
162242,3,644
187727,4,189
212510,1,850
166677,4,901
162761,9,143
214981,13,979
193115,1,518
199779,9,903
176752,9,792
216790,4,965
186101,9,610
222461,13,880
208350,13,690
185315,3,212
150856,4,239
176534,9,553
166381,12,603
178199,8,352
177835,9,533
173622,6,546
201471,6,136
228241,1,824
153758,13,346
184474,8,115
224792,12,830
190348,8,901
154483,1,246
158484,1,842
154362,3,836
162292,13,396
221483,13,313
182954,9,132
167192,2,288
227842,3,737
181907,11,927
179050,12,790
183840,10,219
216819,12,142
163244,8,898
225989,10,383
203480,13,962
225783,11,525
150465,4,951
184630,5,407
186460,4,841
190460,11,725
219531,8,193
159976,4,640
158446,6,216
178155,13,413
177296,9,265
184728,7,755
221866,8,572
190714,11,471
191843,6,629
154223,3,299
221862,13,988
211309,11,440
207358,4,346
173515,6,620
152289,3,999
195566,5,410
216589,6,941
196354,13,929
219476,9,920
186190,13,602
197359,10,159
182401,2,126
189204,3,695
229164,11,727
206994,11,597
217574,4,754
177910,3,629
195645,3,843
152055,4,619
164073,4,883
211202,4,828
177239,4,344
199130,10,374
210166,1,174
219266,5,632
191538,7,353
150977,2,990
181729,4,767
183815,4,119
205658,8,533
183331,4,450
211775,9,893
223347,10,541
221963,11,823
159758,3,999
160537,9,536
157932,4,624
227860,6,115
222462,7,777
176354,13,962
154322,8,373
200276,4,966
221631,3,423
152164,10,326
151469,6,482
180160,9,659
191914,1,529
226346,7,131
181451,12,510
209798,10,463
171527,4,290
152976,1,208
157833,12,921
205275,4,287
223738,6,702
171143,11,784
192930,1,843
208600,1,981
171979,6,281
196794,12,716
225099,2,145
211855,5,950
211337,3,300
229845,7,358
173534,12,403
195331,10,651
180236,1,232
196501,7,738
187115,5,205
176265,12,517
183193,10,122
196592,11,882
155691,2,984
209511,3,508
227551,7,808
209641,6,983
186854,2,640
180095,10,778
187211,2,869
168283,2,788
151354,5,806
181639,7,961
220231,2,764
174448,11,872
177343,12,968
169200,2,565
202095,7,118
182125,13,754
222659,5,328
219725,6,411
208987,12,671
196764,6,774
186465,1,447
226115,1,114
200035,4,196
227081,9,259
195374,9,236
199986,5,163
199585,5,404
227950,3,185
151830,12,895
183309,9,967
217957,9,708
180106,13,466
187862,9,933
184403,6,548
188079,2,136
203863,11,843
183954,13,899
176262,7,719
172817,12,284
222808,3,344
219568,2,933
229869,5,1000
151670,7,528
211287,5,413
184628,4,827
184105,2,254
172244,6,876
164611,10,545
161770,10,913
178232,8,835
212074,8,668
180763,9,273
185245,2,302
188254,12,466
227306,4,596
170898,4,497
179882,4,656
219192,8,885
207589,5,414
182957,8,589
199388,11,674
174395,1,362
161521,10,138
175025,6,188
210471,6,446
162210,9,233
203714,6,940
228013,10,168
228006,12,235
156096,5,193
150279,13,594
191771,13,321
153093,5,725
157740,1,303
171368,7,849
207290,1,985
166340,11,781
216491,3,609
224285,5,518
215614,11,591
184749,7,792
156108,3,503
202216,3,256
184585,6,868
181176,3,992
156464,13,636
226812,1,481
214485,10,729
198391,7,587
162537,10,613
198908,8,271
166521,12,804
176634,11,803
223359,5,731
215052,7,203
220132,3,814
216787,3,327
210490,6,478
160033,7,541
181594,10,750
191706,10,488
198825,8,736
204983,10,470
215402,5,412
210608,11,692
162555,10,402
180650,8,535
179371,2,234
191187,10,144
221057,6,676
202809,12,861
183950,13,372
172992,8,466
192768,4,141
175553,8,720
192843,12,832
159878,2,417
183919,4,195
224699,11,244
185959,10,273
166083,13,738
167708,1,255
161007,13,774
213731,3,818
208896,6,680
212582,1,115
193371,6,726
180097,12,466
205092,10,577
210486,8,979
209682,11,862
175968,7,247
198718,2,383
177534,8,911
209290,1,366
174663,1,320
184206,11,724
158522,12,690
177502,7,636
172361,6,265
200307,3,278
169371,2,983
177575,10,511
215598,2,243
228214,1,123
189754,13,281
227039,13,155
185249,11,168
186907,4,481
209409,4,717
156862,1,827
178388,6,470
190884,9,395
204523,11,950
194183,5,411
186909,4,253
163340,6,438
226180,7,767
198632,4,312
175736,7,823
167922,11,387
191189,7,349
155646,6,590
153167,9,640
175876,2,567
163071,2,373
189035,10,576
182446,13,365
205968,12,528
210978,7,777
157287,5,877
181595,10,397
187447,1,196
158058,12,539
186901,1,357
221365,13,884
221006,3,779
174937,1,165
196954,1,635
163095,10,262
177799,7,196
154824,12,322
181692,7,119
160713,4,369
173006,10,637
185712,11,346
217859,7,473
224133,7,286
152410,10,483
201139,11,271
215441,4,348
194556,9,214
169155,12,101
186287,2,328
211891,11,365
220274,2,384
157392,13,248
168737,5,843
160465,12,461
152631,1,151
165540,10,770
204674,10,419
168307,1,360
166888,8,550
186774,6,507
155172,3,833
179591,7,902
155028,7,441
216251,5,804
174642,7,740
197157,11,203
208100,1,183
192408,6,671
176340,11,432
207497,12,563
163060,1,753
199579,7,600
227752,7,239
220844,4,870
202053,13,581
172807,13,110
217600,12,476
154441,4,366
158428,12,108
193896,1,279
172011,4,795
203635,7,789
169896,3,861
204192,11,550
174673,4,344
163493,4,548
172331,12,919
225990,5,853
219035,7,539
220551,11,343
179222,11,666
225531,7,208
206499,8,489
205348,12,693
203417,13,190
171445,10,145
208230,12,367
202494,3,450
151498,11,541
221965,6,847
214804,11,189
209436,12,930
211662,3,628
180043,9,584
191513,13,917
229034,7,445
202039,5,941
194432,3,825
157477,12,313
156520,7,231
172564,4,333
157658,11,881
157788,5,221
201891,13,407
225978,1,716
174635,10,881
156739,3,946
190468,11,317
216719,3,705
208242,6,628
203786,10,661
203009,4,668
158226,9,158
216958,4,515
206212,6,739
184072,11,244
172193,1,944
224887,4,216
213016,11,556
195223,6,592
151646,12,474
183396,7,447
184959,4,320
218967,2,985
183569,10,669
223859,4,192
150303,7,856
203714,7,933
199504,7,175
205192,2,548
158849,4,710
207523,6,334
201153,13,677
192250,7,435
184177,11,621
182960,9,409
173396,5,435
203304,3,196
164706,10,740
193378,10,148
157562,4,900
194729,5,198
197074,3,813
213561,10,929
167566,6,699
186732,1,648
165161,3,623
189069,7,644
208090,2,984
216041,13,180
190657,10,863
189799,1,865
190736,4,335
180016,10,389
156175,13,673
150360,2,666
206258,10,867
197012,1,192
210317,4,968
200281,2,569
228922,10,718
152615,6,719
222394,10,789
209101,8,167
187137,3,464
201218,11,652
162764,8,278
157546,8,182
214093,11,257
210590,7,930
213787,11,545
195418,7,647
150484,2,944
179150,12,226
187060,3,234
165031,12,914
220344,7,215
176622,8,732
175866,12,263
151675,12,435
217672,11,510
155357,6,218
205707,11,132
166541,1,677
226792,5,662
200211,5,159
211517,13,904
171905,2,576
213844,6,443
171550,8,830
166114,6,743
215596,4,867
154788,1,981
167958,7,308
220980,4,361
224148,6,258
204543,5,829
213669,4,788
188492,7,169
187725,4,320
169823,6,807
181472,9,372
166486,10,693
187794,9,425
218884,4,792
183250,9,295
189671,7,311
182730,1,203
164285,2,340
157696,9,789
172804,12,506
207478,7,903
189556,13,518
195222,5,307
176135,4,373
220865,10,164
167432,13,908
186467,11,302
186866,8,143
221463,10,381
226216,1,427
177511,6,895
216379,6,875
156588,2,919
222097,6,226
155701,13,963
189285,10,897
155164,7,984
158352,6,503
166545,6,987
188731,5,702
168975,3,626
182273,4,722
198656,1,505
186127,4,591
179847,13,314
204075,5,362
173016,8,899
200580,1,603
218257,7,593
224627,4,123
209991,7,492
152611,8,633
174815,1,778
228689,7,225
159367,4,102
220196,13,207
225452,7,327
184892,3,128
220073,4,764
158897,3,379
164577,11,766
165009,7,516
151350,1,408
164018,4,331
190997,3,393
176524,6,520
224958,3,616
189279,2,350
223130,11,390
209082,6,967
156879,11,713
208172,8,667
188563,7,433
196678,12,954
194283,1,190
153436,11,619
221220,4,662
185793,3,799
203115,6,737
153833,11,118
157362,5,615
209294,7,119
175372,4,554
188456,10,812
194418,5,168
166908,10,809
222233,2,973
201639,5,960
176299,7,300
195385,9,353
182576,1,614
156404,8,415
179615,12,811
200629,8,796
176764,8,611
181211,12,104
154094,5,754
219485,5,938
225092,8,203
213685,7,958
214654,1,335
163019,8,617
214256,1,537
219836,7,615
203728,10,497
150714,7,355
154146,12,776
162246,9,450
182711,6,436
181394,3,100
160895,10,367
159629,2,644
185749,5,572
150546,13,425
151535,11,103
166159,9,752
218663,11,689
174428,12,552
218984,4,350
198380,4,246
151419,3,986
201330,5,580
167928,8,839
151601,5,139
221229,4,811
223127,11,985
157340,10,402
212908,10,104
164601,3,159
202115,13,341
187148,5,877
212389,12,794
218938,10,113
218058,10,949
174430,2,195
182991,9,617
157230,7,694
209367,4,461
151421,10,148
176198,12,862
176945,7,495
203678,12,272
169360,1,418
161896,3,974
173707,13,107
226691,1,655
188859,8,931
193590,13,743
209679,3,467
157015,7,184
204038,4,846
189690,9,725
173732,12,313
169447,12,165
215782,8,625
208606,4,105
202375,7,662
204282,11,635
211127,3,600
169401,10,975
194124,2,832
160821,5,846
153013,8,527
168198,10,493
186631,11,749
206975,3,138
160712,6,417
185185,6,591
170584,6,514
217191,11,171
171533,3,147
164567,7,965
196988,5,373
163873,7,692
193387,10,124
180929,3,686
159546,12,491
172727,7,265
227300,12,653
210915,6,111
224417,11,279
166034,7,776
183533,8,599
165742,10,297
150982,11,748
193588,10,601
153698,1,735
192957,9,977
183271,7,197
170103,11,802
179008,13,477
176608,8,412
203837,11,591
183294,2,543
214699,4,983
210248,10,668
173952,9,651
183451,12,119
162138,6,443
203140,1,714
186418,1,490
224333,7,833
176987,9,270
174780,1,172
155476,1,291
219135,7,288
161402,10,347
210426,8,672
193354,7,306
195991,3,677
202948,1,643
225572,9,273
167440,13,244
167181,12,301
182048,10,599
204990,13,914
220147,8,381
150784,10,655
216364,6,278
152483,6,992
160110,9,244
194019,9,597
206892,7,814
179889,2,174
209547,7,504
225671,4,794
224580,9,416
204136,6,434
220188,9,211
227260,10,872
175261,11,232
225184,2,726
197538,12,693
166734,10,801
206688,2,984
156256,6,404
171607,13,636
223821,8,236
169294,12,232
212675,9,315
222463,3,804
165059,11,520
164409,10,989
197151,9,233
208348,11,286
202414,1,754
167911,1,676
204101,12,389
229747,8,533
217220,7,986
204633,6,970
216963,1,221
205348,3,614
185404,9,313
205603,10,145
212818,6,276
178742,4,382
161396,2,227
202896,9,752
221448,9,649
192825,13,264
180008,2,761
202988,11,503
204017,12,585
157020,9,845
205278,7,726
210688,11,730
183718,5,760
175176,3,426
196137,4,495
206503,12,429
201612,13,125
212586,3,464
172072,7,147
189128,10,467
195937,13,414
208547,7,332
167819,13,129
167093,4,575
186508,11,797
160383,13,836
194880,3,591
201135,6,438
214712,1,664
150728,11,920
210926,11,355
193614,1,642
195432,3,265
176483,7,704
207922,10,387
212898,8,863
162167,6,161
227587,13,291
205848,1,841
151959,1,643
185547,6,353
215023,10,342
216050,8,438
218758,4,484
219250,9,112
186012,8,507
198986,7,619
157267,6,712
192463,1,320
176008,8,232
183361,12,162
179254,5,856
155679,10,259
193824,3,752
211993,3,809
188919,2,854
188469,8,634
206701,3,391
170765,6,447
170629,4,598
152937,13,663
175082,10,879
169663,6,638
229061,10,783
194290,11,712
213183,8,285
206633,1,865
219580,8,873
201612,11,688
160537,4,762
200827,7,828
150555,12,186
217401,1,598
227637,6,249
181642,7,196
185243,2,810
212700,6,663
168778,4,718
221409,13,938
216762,10,446
172794,13,454
161951,3,289
202257,13,205
190326,13,948
192771,6,116
155419,13,678
169064,8,843
153594,12,205
206191,12,381
217988,3,928
156209,1,219
161276,8,324
173698,1,405
188790,9,735
226392,12,142
167858,13,137
172508,2,361
221658,10,319
204862,7,145
163603,7,753
187872,1,677
171082,7,821
219664,3,932
209379,4,312
167399,13,295
216499,7,752
226664,5,236
199624,1,359
175881,9,873
229174,3,735
164668,4,445
179329,10,375
186513,5,704
187971,6,164
195353,5,334
151630,1,418
206209,5,116
170220,9,630
227759,13,887
195333,10,212
184216,5,400
168815,4,798
188295,1,741
193576,2,880
152328,8,246
216782,10,295
210006,12,537
168456,4,253
210956,10,686
173512,3,279
206964,3,511
187565,4,408
196562,11,362
209914,2,940
226286,13,858
209173,1,915
183153,3,931
179109,8,910
175161,2,181
164785,11,699
201422,1,562
191391,10,236
165338,12,824
204852,3,220
165737,12,462
198486,5,340
184147,2,561
226249,1,992
171992,12,232
192282,9,456
194258,5,380
183753,13,395
165839,7,225
209612,5,486
198109,9,271
195621,9,185
151184,5,521
206424,7,673
219510,9,228
219144,9,825
213885,8,849
182782,7,395
174708,11,962
158658,2,297
203178,3,158
219841,5,844
200101,12,837
153961,9,211
208907,6,370
193030,7,642
159281,3,546
181541,12,790
158646,1,790
208607,12,996
205912,3,402
217803,4,391
165717,6,124
194751,7,426
183464,1,338
196604,12,189
158186,13,896
173729,13,800
162662,8,275
154524,2,914
168538,5,265
157677,6,949
160945,12,459
215288,3,361
212952,6,926
160914,3,197
156949,9,857
194192,4,110
182570,8,497
202859,6,599
226099,5,333
154746,4,713
218350,5,637
194469,11,473
204750,9,886
183886,13,315
181264,10,346
150864,2,876
205567,4,863
173399,9,646
204743,11,305
196724,10,929
223423,5,659
160958,7,106
201389,10,289
215132,11,241
151579,2,886
159627,9,509
186073,4,694
224252,2,937
227950,13,781
169174,7,249
178726,7,623
203889,10,705
162879,7,919
158329,5,559
174261,1,344
222904,9,383
159874,6,856
182810,8,662
186049,12,727
172401,7,656
227136,10,634
197161,13,775
157131,10,341
185477,10,471
209648,11,751
211140,5,991
185313,6,115
229369,2,716
203335,2,227
195337,1,986
181845,2,685
211090,9,909
222974,7,203
152135,12,357
226842,6,508
175720,10,707
175764,5,438
220326,9,317
172312,9,443
196327,5,385
177877,7,844
168337,6,156
162428,13,249
217570,1,723
159944,10,853
191750,5,298
197884,11,210
153864,11,667
177500,12,738
161394,11,889
183547,12,462
150653,3,982
218274,7,763
165594,7,539
192097,4,650
185486,2,491
201737,9,818
172981,13,390
193685,6,498
177321,6,957
191383,3,680
210502,13,945
187730,11,254
166592,13,158
203990,5,601
158700,9,984
163414,5,472
194120,6,157
195618,8,344
157963,9,533
157255,12,599
159569,6,403
163400,6,302
228242,8,194
154152,10,203
178477,12,450
205423,10,193
198501,6,690
162896,2,587
189275,10,355
152296,13,531
193539,5,713
162880,3,192
161259,6,861
217473,6,237
192418,2,538
180825,5,875
196394,4,592
158026,7,731
171095,3,424
174255,2,371
163243,3,354
200439,2,473
161582,3,357
202342,11,223
153171,6,920
196272,8,573
163616,9,985
189200,2,299
178986,13,100
221292,4,682
170904,3,160
159283,6,566
156910,12,229
170682,2,943
210684,9,854
181321,9,426
215223,1,148
151155,6,725
181071,12,254
171020,4,397
163925,6,941
201272,9,458
225694,7,407
154769,3,477
150073,4,907
184576,8,542
193470,10,829
168791,9,132
183720,2,694
186063,4,615
212605,2,400
174756,12,644
195733,12,841
169040,2,673
223147,8,361
159156,13,251
227588,13,380
207300,3,381
202678,9,731
181019,4,962
151367,13,183
157578,9,119
218515,3,323
181610,2,290
209514,2,968
201394,3,656
182667,9,308
156469,4,472
161564,1,765
211519,2,933
198230,12,759
164780,7,620
197228,5,214
208442,11,586
197405,9,554
188416,8,292
173228,7,322
171097,10,378
197255,1,498
170349,2,895
217158,3,877
215389,4,691
167133,4,875
168497,2,461
154201,8,314
179236,2,410
179375,10,476
206368,13,270
218039,8,655
198741,11,791
221815,11,248
157389,2,268
167680,7,166
218758,9,848
165004,12,167
218731,8,670
183753,4,837
190767,7,128
212428,12,141
172850,11,628
169350,12,490
191604,2,383
186180,4,363
194850,6,711
221982,9,354
226225,6,419
209821,13,669
150076,1,471
157711,9,993
168857,8,190
188643,6,606
201853,7,256
213310,8,859
195336,1,959
215768,3,704
181451,1,808
199532,5,657
217390,11,677
171484,5,312
166490,12,467
172796,7,566
154625,6,996
206370,2,873
