IDALOJAMIENTO,SERVPUBLICO,ADMINISTRACION,IDENTIFICACIONOPERADORUSUARIO
50179,Y,N,11039
50180,Y,Y,17986
50181,Y,Y,22330
50182,N,Y,5161
50183,N,N,16043
50184,N,Y,43441
50185,Y,N,42998
50186,N,Y,49781
50187,Y,N,22230
50188,N,N,24036
50189,Y,Y,18551
50190,N,Y,23099
50191,Y,Y,35935
50192,Y,Y,37807
50193,N,N,6653
50194,Y,N,21395
50195,Y,N,12298
50196,N,N,3713
50197,Y,Y,36534
50198,N,N,41150
50199,N,N,3884
50200,N,Y,9280
50201,Y,N,7531
50202,N,Y,22042
50203,Y,Y,48338
50204,N,Y,36124
50205,Y,N,6719
50206,Y,N,49346
50207,N,N,11803
50208,N,Y,11743
50209,N,Y,38017
50210,N,N,14222
50211,N,Y,25498
50212,N,N,20884
50213,Y,N,21288
50214,N,N,31462
50215,N,N,27522
50216,Y,N,31120
50217,Y,Y,42669
50218,N,Y,43893
50219,N,Y,12417
50220,N,N,33339
50221,Y,Y,33765
50222,Y,Y,1125
50223,N,Y,25133
50224,N,N,16232
50225,Y,N,27080
50226,N,N,16110
50227,N,N,8942
50228,N,N,23593
50229,N,N,41035
50230,Y,Y,47396
50231,N,Y,19958
50232,N,Y,15331
50233,N,Y,21737
50234,N,N,28552
50235,Y,Y,40027
50236,N,N,41750
50237,N,N,47963
50238,Y,N,42352
50239,Y,N,26506
50240,N,N,4830
50241,Y,Y,20822
50242,Y,Y,18033
50243,Y,Y,36734
50244,Y,Y,36738
50245,N,Y,16384
50246,N,Y,16941
50247,N,N,11076
50248,Y,Y,47543
50249,Y,N,25772
50250,N,Y,13615
50251,Y,Y,11793
50252,N,N,3040
50253,Y,Y,48946
50254,Y,N,30386
50255,Y,Y,20531
50256,Y,Y,35618
50257,Y,Y,6227
50258,N,Y,33865
50259,N,N,26660
50260,N,Y,49427
50261,N,Y,39558
50262,Y,Y,2342
50263,N,N,30276
50264,Y,Y,32387
50265,N,Y,40102
50266,Y,N,41147
50267,N,Y,30009
50268,N,N,25048
50269,N,Y,34699
50270,Y,Y,20827
50271,Y,N,25721
50272,Y,Y,41124
50273,N,Y,6348
50274,Y,Y,35819
50275,N,Y,29402
50276,N,Y,5914
50277,N,N,26204
50278,Y,Y,47951
50279,N,N,16480
50280,N,N,40001
50281,Y,N,26106
50282,N,Y,47968
50283,Y,N,48896
50284,Y,N,6692
50285,N,Y,31292
50286,N,Y,24926
50287,Y,N,44065
50288,N,N,16401
50289,Y,Y,22251
50290,Y,N,2617
50291,Y,N,12814
50292,N,N,41981
50293,Y,N,43485
50294,Y,N,41147
50295,Y,N,1269
50296,Y,N,714
50297,Y,N,44333
50298,N,N,6689
50299,Y,N,190
50300,N,Y,21851
50301,Y,Y,17038
50302,Y,Y,25781
50303,Y,Y,17388
50304,N,N,7106
50305,Y,Y,24320
50306,Y,N,9616
50307,N,Y,45526
50308,N,N,26089
50309,N,Y,31163
50310,Y,N,45728
50311,Y,Y,5498
50312,N,Y,36540
50313,N,N,40938
50314,N,N,41426
50315,N,Y,21368
50316,Y,Y,10854
50317,Y,N,911
50318,N,Y,21869
50319,N,Y,14808
50320,Y,Y,46
50321,Y,Y,47825
50322,N,Y,11754
50323,N,Y,44186
50324,Y,Y,28256
50325,Y,N,14657
50326,N,N,30920
50327,Y,Y,48106
50328,N,N,34261
50329,N,Y,12473
50330,Y,Y,24087
50331,N,Y,48945
50332,Y,N,6579
50333,N,N,41432
50334,Y,N,3995
50335,N,N,16075
50336,N,Y,13971
50337,N,Y,14372
50338,Y,Y,29194
50339,N,Y,35957
50340,N,Y,40999
50341,N,N,13267
50342,N,N,31739
50343,N,N,10493
50344,Y,Y,36277
50345,N,N,7215
50346,N,N,40517
50347,Y,Y,627
50348,N,N,35591
50349,Y,Y,24095
50350,Y,Y,29962
50351,N,N,42772
50352,Y,Y,25364
50353,Y,N,7005
50354,Y,Y,14210
50355,N,N,28182
50356,Y,Y,19715
50357,Y,Y,9759
50358,Y,N,45081
50359,Y,Y,43184
50360,Y,N,49643
50361,N,Y,1416
50362,Y,Y,43269
50363,N,Y,38102
50364,Y,N,5918
50365,Y,N,1215
50366,Y,N,697
50367,Y,N,33770
50368,N,Y,48364
50369,N,Y,13729
50370,N,N,27768
50371,Y,Y,45280
50372,Y,N,26598
50373,N,Y,1837
50374,Y,N,7085
50375,Y,Y,28966
50376,Y,N,48513
50377,N,Y,23265
50378,Y,N,45967
50379,N,Y,18147
50380,N,Y,30150
50381,N,N,37797
50382,N,N,25715
50383,N,Y,48913
50384,Y,Y,40803
50385,N,Y,15047
50386,N,N,15024
50387,Y,N,34694
50388,Y,N,16264
50389,Y,Y,9431
50390,Y,N,44921
50391,Y,Y,29286
50392,Y,N,23281
50393,Y,Y,22365
50394,N,Y,39177
50395,Y,N,9007
50396,N,N,12535
50397,N,Y,11126
50398,Y,N,23778
50399,Y,N,6259
50400,N,Y,38649
50401,Y,Y,24434
50402,Y,Y,14055
50403,Y,Y,43321
50404,N,N,21366
50405,Y,Y,16686
50406,Y,N,30090
50407,Y,Y,2721
50408,N,N,18853
50409,N,Y,9337
50410,Y,Y,47439
50411,N,Y,30940
50412,N,N,251
50413,N,N,46506
50414,N,N,13410
50415,Y,Y,26248
50416,N,N,1533
50417,N,N,10906
50418,Y,Y,26411
50419,N,N,18592
50420,Y,N,12029
50421,Y,Y,11614
50422,Y,N,31652
50423,N,Y,8133
50424,N,N,49215
50425,Y,N,6356
50426,Y,N,24962
50427,N,Y,39984
50428,Y,N,46148
50429,N,Y,29425
50430,Y,N,48123
50431,N,Y,14660
50432,Y,Y,32634
50433,Y,N,9829
50434,Y,N,5836
50435,Y,Y,26061
50436,Y,N,16978
50437,Y,Y,5788
50438,N,Y,43701
50439,N,Y,29029
50440,Y,Y,12660
50441,Y,Y,16333
50442,N,N,31815
50443,Y,Y,32285
50444,Y,Y,10831
50445,N,Y,10122
50446,N,Y,21280
50447,Y,Y,2862
50448,Y,N,3177
50449,N,Y,46122
50450,N,Y,7465
50451,Y,N,48202
50452,N,Y,44045
50453,N,Y,38161
50454,Y,N,44862
50455,Y,Y,15285
50456,N,Y,45650
50457,Y,N,43421
50458,Y,N,22076
50459,Y,N,6351
50460,Y,Y,45029
50461,Y,N,4554
50462,N,N,10831
50463,Y,Y,742
50464,Y,N,13778
50465,N,N,41304
50466,N,Y,17339
50467,N,N,822
50468,Y,Y,41231
50469,Y,Y,38221
50470,N,N,49830
50471,N,Y,32317
50472,Y,Y,14410
50473,N,N,46806
50474,Y,N,25958
50475,N,N,30281
50476,N,Y,22841
50477,N,Y,39176
50478,Y,Y,22507
50479,N,Y,17515
50480,Y,Y,41219
50481,N,Y,7951
50482,N,Y,19777
50483,N,Y,41020
50484,N,N,19113
50485,N,Y,1476
50486,N,Y,5787
50487,N,N,8280
50488,Y,N,29522
50489,Y,Y,19329
50490,N,Y,33344
50491,N,Y,21924
50492,N,N,2419
50493,Y,Y,2879
50494,N,Y,44281
50495,Y,N,40415
50496,N,N,47821
50497,N,Y,4806
50498,Y,Y,811
50499,Y,Y,11341
50500,Y,Y,10455
50501,N,N,33354
50502,N,N,40167
50503,Y,Y,28050
50504,Y,Y,25897
50505,Y,N,8780
50506,N,N,47037
50507,Y,N,31061
50508,Y,Y,44833
50509,Y,Y,9536
50510,N,N,16800
50511,N,N,44467
50512,Y,N,20104
50513,N,Y,16496
50514,Y,N,1091
50515,N,N,45842
50516,Y,N,10805
50517,Y,N,24062
50518,Y,Y,19047
50519,Y,Y,27414
50520,Y,N,30910
50521,Y,Y,5690
50522,Y,Y,46096
50523,Y,Y,39463
50524,Y,Y,44284
50525,N,Y,45870
50526,N,Y,40301
50527,N,N,47088
50528,Y,Y,46536
50529,Y,Y,46763
50530,N,Y,5220
50531,Y,Y,15330
50532,N,Y,40025
50533,N,Y,24326
50534,Y,N,26147
50535,N,N,44495
50536,Y,Y,49506
50537,Y,N,30618
50538,N,N,46770
50539,N,N,18811
50540,N,Y,42803
50541,Y,Y,6394
50542,N,N,23309
50543,Y,Y,20477
50544,N,N,37138
50545,Y,Y,35994
50546,N,N,22944
50547,Y,N,29399
50548,Y,N,19790
50549,N,Y,36713
50550,Y,N,39991
50551,Y,Y,15670
50552,Y,Y,26198
50553,Y,N,2930
50554,Y,Y,25705
50555,N,Y,10258
50556,N,Y,8836
50557,Y,Y,13271
50558,N,Y,10637
50559,N,Y,30299
50560,Y,N,21801
50561,Y,Y,7298
50562,N,N,24042
50563,Y,N,28086
50564,N,Y,1613
50565,Y,N,36899
50566,N,Y,38521
50567,Y,N,31542
50568,N,N,32051
50569,Y,N,20209
50570,N,N,37770
50571,N,Y,49997
50572,Y,N,34647
50573,N,N,34648
50574,Y,N,39448
50575,N,N,12232
50576,N,N,25644
50577,Y,Y,39188
50578,N,Y,39439
50579,Y,Y,39289
50580,Y,N,25629
50581,Y,N,16287
50582,Y,N,26328
50583,N,Y,18194
50584,Y,Y,10626
50585,N,N,20602
50586,N,Y,29968
50587,N,N,5949
50588,Y,N,15967
50589,N,Y,16127
50590,N,N,23279
50591,Y,N,25061
50592,N,N,17908
50593,Y,N,6090
50594,Y,Y,48894
50595,Y,Y,45954
50596,N,Y,8700
50597,N,Y,5920
50598,Y,Y,47464
50599,N,Y,40524
50600,Y,Y,28416
50601,N,N,9054
50602,N,Y,42066
50603,Y,Y,35171
50604,Y,Y,25901
50605,Y,N,30465
50606,N,Y,993
50607,N,N,27238
50608,Y,Y,47883
50609,Y,Y,25286
50610,Y,N,30021
50611,Y,Y,40770
50612,N,N,6347
50613,Y,N,22307
50614,Y,Y,2342
50615,Y,N,11519
50616,N,Y,37500
50617,N,N,32928
50618,Y,N,16794
50619,N,Y,8624
50620,Y,Y,19545
50621,Y,N,31842
50622,N,Y,8719
50623,Y,Y,10787
50624,Y,Y,3097
50625,Y,N,40474
50626,Y,N,41450
50627,Y,Y,43779
50628,Y,N,43966
50629,N,Y,13148
50630,Y,N,37934
50631,N,Y,40825
50632,Y,N,30669
50633,N,N,19355
50634,Y,N,20260
50635,N,Y,28776
50636,Y,Y,36200
50637,N,N,9408
50638,N,N,40804
50639,N,N,11795
50640,N,Y,8304
50641,Y,N,24965
50642,Y,Y,20885
50643,N,N,46109
50644,Y,N,22635
50645,Y,N,12964
50646,N,Y,13606
50647,N,Y,7275
50648,Y,N,10357
50649,N,Y,20687
50650,N,Y,42839
50651,Y,Y,33652
50652,N,Y,40388
50653,N,N,24702
50654,Y,N,18160
50655,Y,N,41687
50656,Y,N,48299
50657,Y,N,1022
50658,Y,N,3058
50659,N,N,5672
50660,Y,N,22515
50661,N,N,38891
50662,N,Y,28632
50663,Y,N,40952
50664,N,Y,32929
50665,N,N,43763
50666,N,N,30551
50667,Y,N,31300
50668,Y,N,26407
50669,Y,Y,29826
50670,N,Y,10128
50671,Y,N,26623
50672,Y,N,26222
50673,N,N,42198
50674,Y,N,36880
50675,Y,Y,31924
50676,Y,N,43956
50677,Y,N,32711
50678,Y,N,5591
50679,N,N,16311
50680,N,N,43891
50681,N,N,29605
50682,N,Y,40616
50683,N,Y,37562
50684,N,N,12450
50685,N,N,18315
50686,Y,Y,25069
50687,N,N,17558
50688,N,Y,42269
50689,N,N,42401
50690,Y,Y,10629
50691,N,Y,24846
50692,N,N,19805
50693,N,N,49511
50694,Y,N,807
50695,Y,Y,22507
50696,Y,Y,38345
50697,Y,Y,25326
50698,Y,Y,30782
50699,Y,N,32160
50700,Y,Y,18
50701,N,N,29408
50702,N,Y,34458
50703,N,Y,35840
50704,Y,Y,20860
50705,N,Y,12675
50706,Y,Y,23482
50707,N,N,1512
50708,N,N,1392
50709,Y,Y,13480
50710,Y,Y,41029
50711,N,N,45486
50712,Y,N,29212
50713,N,N,20281
50714,N,N,38275
50715,N,Y,32511
50716,Y,N,44991
50717,Y,Y,42853
50718,Y,N,26776
50719,Y,N,15609
50720,N,Y,45098
50721,Y,N,12075
50722,N,Y,39467
50723,Y,N,28533
50724,N,Y,7720
50725,N,Y,34417
50726,N,Y,15138
50727,N,Y,33053
50728,Y,N,1553
50729,Y,N,32438
50730,N,N,44650
50731,N,N,31252
50732,Y,Y,15741
50733,Y,Y,16974
50734,Y,N,42485
50735,N,Y,29453
50736,N,Y,17871
50737,N,Y,29644
50738,Y,N,28805
50739,N,N,27433
50740,Y,N,2603
50741,Y,Y,15146
50742,N,Y,24691
50743,N,N,1515
50744,Y,N,13555
50745,N,Y,33993
50746,Y,Y,6873
50747,Y,Y,44027
50748,N,N,34478
50749,N,N,10856
50750,Y,N,26263
50751,N,Y,14704
50752,N,N,9525
50753,N,Y,45383
50754,Y,N,33606
50755,Y,N,31598
50756,Y,N,22317
50757,N,Y,38530
50758,Y,N,28340
50759,Y,N,15479
50760,Y,N,26537
50761,Y,Y,45497
50762,N,N,13872
50763,Y,N,25315
50764,N,Y,10917
50765,N,Y,21213
50766,Y,Y,11465
50767,Y,N,29394
50768,N,Y,19369
50769,N,Y,14110
50770,Y,Y,19512
50771,N,Y,44805
50772,Y,N,17873
50773,N,N,44631
50774,Y,Y,31347
50775,N,Y,46262
50776,N,N,37616
50777,N,Y,48313
50778,Y,N,6190
50779,N,Y,2877
50780,Y,Y,12709
50781,Y,Y,13126
50782,Y,Y,34885
50783,Y,Y,36442
50784,N,N,29032
50785,N,Y,23944
50786,N,N,7972
50787,Y,Y,1552
50788,Y,N,7267
50789,Y,N,34317
50790,Y,Y,28207
50791,N,Y,34409
50792,N,N,11308
50793,Y,Y,46635
50794,Y,N,88
50795,Y,Y,2971
50796,Y,N,11850
50797,N,Y,15446
50798,Y,N,45848
50799,N,Y,33109
50800,N,Y,44381
50801,Y,Y,14645
50802,Y,Y,28885
50803,Y,Y,22329
50804,Y,Y,46838
50805,N,Y,22235
50806,Y,N,40023
50807,N,N,10977
50808,Y,Y,28885
50809,Y,N,5296
50810,N,Y,37252
50811,N,Y,34606
50812,N,Y,6390
50813,N,Y,4486
50814,N,Y,35719
50815,N,Y,26832
50816,Y,Y,46539
50817,N,N,28459
50818,Y,N,15937
50819,Y,Y,39459
50820,N,Y,42524
50821,Y,Y,48085
50822,Y,N,29471
50823,Y,Y,10168
50824,Y,N,15301
50825,Y,Y,44716
50826,Y,Y,34368
50827,N,Y,6125
50828,N,Y,3994
50829,Y,Y,16611
50830,Y,Y,6645
50831,Y,Y,38008
50832,Y,Y,38644
50833,N,Y,13260
50834,N,N,46572
50835,Y,N,27295
50836,Y,N,7629
50837,N,N,48375
50838,Y,Y,2449
50839,N,Y,26563
50840,Y,Y,20074
50841,N,N,49674
50842,N,N,19829
50843,Y,N,12407
50844,Y,N,24057
50845,Y,N,32173
50846,N,Y,16014
50847,N,Y,21011
50848,N,Y,11342
50849,Y,N,21737
50850,N,N,25498
50851,N,N,10953
50852,N,N,47425
50853,Y,N,17505
50854,N,Y,10928
50855,Y,Y,30156
50856,Y,Y,48584
50857,Y,N,9678
50858,Y,N,49792
50859,N,Y,9483
50860,Y,Y,38008
50861,N,Y,11785
50862,N,Y,7901
50863,N,Y,30399
50864,N,Y,30705
50865,Y,N,20446
50866,Y,N,12645
50867,N,N,46339
50868,Y,Y,1320
50869,N,Y,23072
50870,N,Y,34953
50871,Y,Y,23976
50872,N,Y,29228
50873,N,Y,43830
50874,N,N,39336
50875,N,Y,21594
50876,Y,Y,19678
50877,N,Y,16835
50878,Y,N,30849
50879,N,Y,21253
50880,N,N,34639
50881,Y,N,24336
50882,N,N,35751
50883,N,N,34538
50884,N,N,29088
50885,N,Y,38606
50886,N,Y,837
50887,Y,N,14575
50888,N,Y,26520
50889,Y,N,4276
50890,N,Y,27527
50891,N,Y,29284
50892,N,Y,31234
50893,Y,N,27627
50894,Y,Y,28395
50895,N,Y,43956
50896,Y,N,28874
50897,N,Y,11539
50898,Y,Y,39170
50899,Y,N,3736
50900,N,Y,17784
50901,N,N,15743
50902,N,Y,22602
50903,N,N,3467
50904,N,N,19098
50905,N,Y,12105
50906,Y,Y,34572
50907,N,Y,31311
50908,N,Y,5022
50909,N,N,2922
50910,N,Y,39289
50911,Y,Y,24761
50912,N,N,21153
50913,N,N,34917
50914,N,Y,6331
50915,N,Y,8491
50916,N,Y,5953
50917,Y,N,17329
50918,N,N,31634
50919,N,N,33101
50920,N,N,14732
50921,N,Y,15751
50922,N,N,6240
50923,N,N,25159
50924,Y,N,41020
50925,N,Y,5453
50926,Y,Y,14508
50927,N,Y,10374
50928,Y,N,10861
50929,Y,Y,14199
50930,Y,N,11247
50931,Y,Y,6904
50932,N,Y,9181
50933,N,N,12639
50934,N,Y,45162
50935,Y,N,29877
50936,Y,N,7869
50937,Y,Y,42185
50938,Y,Y,4984
50939,Y,Y,21689
50940,N,Y,39933
50941,N,N,29114
50942,N,Y,14919
50943,Y,Y,20196
50944,N,Y,45407
50945,N,N,41850
50946,N,N,39825
50947,Y,N,42976
50948,Y,Y,33915
50949,N,N,28576
50950,N,N,46157
50951,Y,Y,45434
50952,Y,N,27993
50953,N,Y,3669
50954,N,Y,15744
50955,N,N,19144
50956,Y,Y,5632
50957,N,Y,16430
50958,Y,N,29495
50959,Y,N,6440
50960,N,N,9041
50961,Y,N,17890
50962,N,N,41395
50963,Y,N,44302
50964,N,N,34230
50965,N,Y,48411
50966,Y,Y,29151
50967,N,N,27360
50968,N,N,21821
50969,N,Y,39558
50970,Y,N,11257
50971,Y,Y,2225
50972,N,N,21948
50973,N,Y,27014
50974,N,Y,10523
50975,Y,Y,23930
50976,Y,Y,34422
50977,Y,Y,42443
50978,Y,Y,44277
50979,N,Y,17984
50980,N,N,1460
50981,Y,Y,5529
50982,N,Y,37409
50983,Y,N,17005
50984,N,Y,30553
50985,N,Y,42478
50986,Y,N,9348
50987,Y,N,3812
50988,N,N,4411
50989,N,Y,13910
50990,N,N,25744
50991,N,Y,41232
50992,N,N,45319
50993,Y,Y,8731
50994,N,N,15083
50995,Y,Y,9877
50996,N,Y,30736
50997,Y,N,24748
50998,Y,Y,9754
50999,N,N,16622
51000,N,N,2101
51001,N,N,9014
51002,N,N,5735
51003,N,Y,18437
51004,Y,N,33819
51005,N,N,25725
51006,Y,N,25927
51007,N,Y,5514
51008,Y,N,40496
51009,Y,N,40888
51010,Y,N,14576
51011,Y,N,44882
51012,Y,Y,35626
51013,Y,N,7139
51014,N,Y,29315
51015,N,Y,49386
51016,Y,N,9507
51017,Y,Y,42804
51018,Y,Y,29384
51019,N,N,31036
51020,N,N,39003
51021,N,Y,14908
51022,N,Y,31383
51023,Y,Y,26603
51024,Y,N,25793
51025,N,N,43542
51026,Y,Y,14837
51027,Y,Y,13466
51028,N,N,2641
51029,Y,N,7569
51030,Y,Y,26452
51031,N,Y,14164
51032,Y,N,38523
51033,Y,N,28466
51034,Y,Y,39064
51035,Y,N,20080
51036,N,Y,25718
51037,N,N,15059
51038,N,N,7159
51039,N,Y,21186
51040,Y,N,37249
51041,N,Y,8477
51042,Y,N,28126
51043,Y,N,25500
51044,N,N,40018
51045,Y,N,25218
51046,N,Y,31375
51047,N,N,31935
51048,N,N,44853
51049,N,Y,32238
51050,N,Y,20207
51051,N,N,38359
51052,N,Y,22004
51053,N,Y,1423
51054,Y,N,13425
51055,N,N,23610
51056,Y,Y,38720
51057,Y,Y,15590
51058,Y,N,44414
51059,Y,Y,53
51060,Y,N,45807
51061,N,Y,26655
51062,Y,N,45088
51063,N,N,5529
51064,Y,Y,29699
51065,N,Y,45058
51066,N,N,49706
51067,Y,Y,8500
51068,Y,Y,35186
51069,Y,N,31361
51070,Y,Y,4841
51071,N,N,27037
51072,N,N,30002
51073,N,N,39603
51074,Y,Y,49165
51075,Y,Y,37367
51076,Y,Y,21492
51077,Y,Y,46736
51078,Y,Y,12402
51079,Y,N,9825
51080,N,N,4792
51081,Y,Y,19771
51082,Y,Y,19666
51083,Y,N,27259
51084,N,N,30622
51085,Y,N,15093
51086,Y,Y,27096
51087,Y,Y,17858
51088,N,Y,27575
51089,N,N,22419
51090,N,N,13929
51091,N,Y,22097
51092,N,Y,6998
51093,Y,N,14026
51094,N,Y,17534
51095,N,Y,1635
51096,N,N,18644
51097,Y,Y,31690
51098,Y,N,997
51099,N,Y,43625
51100,Y,N,32296
51101,N,N,15203
51102,N,Y,13591
51103,Y,N,1491
51104,Y,Y,4263
51105,N,N,47737
51106,N,N,15848
51107,N,N,22673
51108,N,N,3774
51109,N,N,13656
51110,Y,Y,17919
51111,Y,Y,39015
51112,N,N,37719
51113,Y,Y,32717
51114,Y,N,41486
51115,Y,N,42813
51116,N,N,25986
51117,Y,Y,5300
51118,Y,N,13542
51119,N,N,34023
51120,Y,N,5724
51121,N,N,14575
51122,N,Y,3234
51123,N,Y,12312
51124,N,Y,21918
51125,Y,N,5561
51126,N,N,16381
51127,Y,Y,12313
51128,Y,Y,26334
51129,N,Y,43543
51130,Y,N,37299
51131,Y,Y,6606
51132,Y,N,44685
51133,N,Y,14523
51134,Y,N,7655
51135,Y,Y,42128
51136,N,N,16751
51137,N,N,6747
51138,Y,Y,35050
51139,Y,N,24295
51140,Y,Y,38747
51141,N,N,46669
51142,Y,Y,47788
51143,Y,Y,13920
51144,N,N,22519
51145,Y,Y,69
51146,N,N,17211
51147,Y,Y,13392
51148,N,N,33872
51149,Y,Y,12114
51150,Y,Y,28261
51151,Y,Y,196
51152,Y,N,24280
51153,N,N,25848
51154,N,N,11824
51155,Y,N,32793
51156,N,N,22107
51157,Y,N,4563
51158,N,Y,22439
51159,Y,N,38200
51160,N,Y,11936
51161,N,Y,27575
51162,N,Y,17917
51163,Y,Y,4527
51164,Y,Y,24891
51165,N,N,33388
51166,Y,N,34487
51167,Y,Y,13360
51168,N,Y,46906
51169,N,Y,30179
51170,N,Y,44207
51171,N,N,39210
51172,Y,N,38599
51173,Y,N,44829
51174,N,N,32420
51175,Y,N,46363
51176,Y,Y,23269
51177,Y,Y,46705
51178,N,Y,13058
51179,N,Y,47016
51180,N,Y,21312
51181,N,Y,49912
51182,Y,N,45802
51183,N,Y,20860
51184,N,Y,20120
51185,Y,Y,5888
51186,Y,Y,28932
51187,N,N,19299
51188,N,Y,10700
51189,Y,N,19878
51190,N,Y,41506
51191,Y,N,24479
51192,N,Y,10672
51193,N,Y,4177
51194,N,N,20529
51195,N,N,2648
51196,N,Y,39908
51197,Y,N,41074
51198,N,Y,28580
51199,Y,N,44809
51200,N,Y,10400
51201,Y,Y,33252
51202,Y,Y,36940
51203,Y,N,19593
51204,N,N,18789
51205,N,N,42728
51206,N,Y,2274
51207,N,Y,36674
51208,Y,Y,46758
51209,N,Y,40142
51210,N,Y,18922
51211,N,N,30158
51212,N,Y,15140
51213,N,N,781
51214,Y,N,12564
51215,Y,Y,47654
51216,N,Y,49772
51217,N,Y,11871
51218,Y,Y,13464
51219,Y,N,44236
51220,N,Y,17263
51221,N,N,12485
51222,N,Y,5160
51223,Y,N,47618
51224,Y,N,19679
51225,N,N,47454
51226,N,Y,43111
51227,Y,N,17558
51228,N,N,49457
51229,Y,Y,17589
51230,N,N,8651
51231,Y,N,22630
51232,N,N,9582
51233,N,Y,32919
51234,Y,N,9620
51235,N,N,26029
51236,N,N,3468
51237,N,N,29110
51238,N,N,28566
51239,N,Y,19385
51240,Y,N,11081
51241,N,N,12781
51242,N,Y,36594
51243,Y,N,17264
51244,Y,Y,9778
51245,Y,N,49382
51246,N,Y,35593
51247,N,N,42734
51248,N,Y,48600
51249,N,N,45263
51250,Y,N,25230
51251,Y,Y,472
51252,N,Y,42965
51253,Y,N,2102
51254,N,N,34010
51255,Y,Y,29677
51256,N,N,2692
51257,Y,N,39989
51258,N,N,29907
51259,N,N,30982
51260,N,Y,18203
51261,Y,N,251
51262,Y,N,39214
51263,N,Y,14010
51264,Y,N,40943
