ID,TIPOHABITACION,CAPACIDAD,IDVIVIENDAUNIVERSITARIA
190135,individual,3,13199
190136,individual,1,4843
190137,compartido,2,10766
190138,compartido,1,16860
190139,compartido,3,10974
190140,individual,1,9193
190141,compartido,2,9211
190142,individual,3,13135
190143,individual,2,19212
190144,compartido,3,9613
190145,individual,2,12358
190146,individual,3,1774
190147,individual,1,8330
190148,compartido,3,577
190149,individual,1,6436
190150,individual,2,59
190151,compartido,3,3269
190152,compartido,4,4298
190153,individual,4,2573
190154,compartido,2,12436
190155,individual,2,10693
190156,individual,3,4306
190157,compartido,3,18104
190158,individual,4,15485
190159,compartido,4,12885
190160,individual,4,9941
190161,compartido,2,9975
190162,compartido,3,3891
190163,compartido,4,7860
190164,compartido,2,7000
190165,compartido,3,17440
190166,individual,3,19922
190167,individual,1,7781
190168,individual,2,1772
190169,compartido,4,18083
190170,compartido,3,8232
190171,compartido,3,5730
190172,individual,4,12987
190173,individual,1,18812
190174,individual,2,4741
190175,individual,3,15312
190176,individual,2,14780
190177,individual,3,16418
190178,individual,3,12016
190179,individual,3,12181
190180,individual,3,10836
190181,compartido,2,12127
190182,compartido,1,16030
190183,compartido,1,1474
190184,compartido,4,14
190185,compartido,4,15765
190186,compartido,1,13344
190187,compartido,4,14282
190188,individual,1,1806
190189,compartido,3,7614
190190,individual,4,8145
190191,individual,3,14511
190192,compartido,3,10076
190193,compartido,1,10441
190194,compartido,2,853
190195,individual,1,7956
190196,compartido,4,8450
190197,individual,3,3223
190198,individual,2,14797
190199,compartido,3,11940
190200,individual,1,14500
190201,individual,1,17259
190202,individual,2,15721
190203,compartido,2,15663
190204,individual,3,2179
190205,compartido,3,17647
190206,compartido,1,2122
190207,individual,4,2591
190208,compartido,1,4580
190209,compartido,1,7994
190210,individual,2,16035
190211,compartido,4,9498
190212,individual,1,290
190213,individual,4,8409
190214,compartido,1,7605
190215,compartido,2,11431
190216,compartido,1,4675
190217,individual,1,18102
190218,compartido,1,3784
190219,individual,4,6046
190220,compartido,3,12188
190221,individual,4,19916
190222,compartido,3,2548
190223,individual,3,682
190224,individual,2,5100
190225,compartido,2,5200
190226,individual,2,10665
190227,compartido,2,6099
190228,compartido,4,5459
190229,individual,2,12378
190230,compartido,1,3103
190231,compartido,2,12699
190232,individual,4,4789
190233,compartido,1,7167
190234,individual,1,7333
190235,individual,3,10978
190236,individual,4,17176
190237,compartido,2,8200
190238,compartido,4,14447
190239,compartido,3,11752
190240,compartido,4,19010
190241,individual,4,11719
190242,individual,1,501
190243,compartido,4,19855
190244,individual,3,5540
190245,individual,1,19353
190246,individual,1,6866
190247,individual,2,17582
190248,compartido,1,3623
190249,individual,4,10505
190250,individual,2,15852
190251,compartido,1,8531
190252,compartido,2,19099
190253,compartido,4,10153
190254,individual,2,3220
190255,individual,2,875
190256,compartido,4,3108
190257,compartido,4,17794
190258,individual,4,3372
190259,compartido,4,17026
190260,individual,1,11523
190261,individual,4,3975
190262,individual,1,17524
190263,compartido,1,17641
190264,compartido,1,16664
190265,individual,1,7701
190266,individual,1,17823
190267,individual,2,8644
190268,compartido,2,4553
190269,compartido,2,18385
190270,individual,1,742
190271,individual,3,4426
190272,individual,4,11959
190273,compartido,3,9103
190274,compartido,1,17536
190275,compartido,2,5851
190276,compartido,4,4229
190277,compartido,1,12160
190278,individual,1,9057
190279,individual,1,11217
190280,individual,3,2850
190281,compartido,2,16023
190282,individual,1,17103
190283,compartido,1,14856
190284,compartido,4,3698
190285,individual,1,2598
190286,individual,1,16328
190287,individual,1,14489
190288,compartido,2,13287
190289,individual,3,12009
190290,individual,4,4241
190291,compartido,3,18122
190292,individual,2,19229
190293,individual,1,5166
190294,compartido,2,9435
190295,individual,1,1022
190296,individual,4,13142
190297,compartido,2,13722
190298,compartido,2,18414
190299,compartido,4,3385
190300,compartido,1,17143
190301,compartido,4,18179
190302,individual,3,17403
190303,individual,2,9762
190304,individual,3,12727
190305,individual,2,8371
190306,compartido,2,3660
190307,compartido,1,519
190308,compartido,4,7891
190309,compartido,4,8497
190310,compartido,4,5907
190311,compartido,2,333
190312,individual,3,3726
190313,individual,3,1774
190314,compartido,4,7666
190315,individual,1,3887
190316,individual,2,4545
190317,individual,2,18760
190318,compartido,2,4532
190319,individual,1,17625
190320,compartido,3,12124
190321,compartido,3,14213
190322,compartido,1,2217
190323,compartido,2,4962
190324,compartido,1,9364
190325,compartido,1,5869
190326,compartido,2,15007
190327,individual,2,6176
190328,individual,4,3992
190329,individual,3,13235
190330,compartido,2,11814
190331,individual,4,710
190332,compartido,4,18254
190333,compartido,3,8676
190334,compartido,2,18136
190335,compartido,1,19653
190336,compartido,2,10736
190337,compartido,4,9916
190338,compartido,4,18470
190339,individual,4,11854
190340,compartido,4,8948
190341,compartido,1,3568
190342,compartido,4,3935
190343,individual,3,17618
190344,individual,4,2385
190345,individual,1,5505
190346,individual,3,8636
190347,individual,1,19388
190348,compartido,3,6060
190349,compartido,3,15900
190350,compartido,4,16494
190351,compartido,2,12213
190352,individual,1,3992
190353,individual,1,18494
190354,individual,4,3588
190355,compartido,4,17350
190356,compartido,2,12890
190357,individual,3,17032
190358,compartido,2,7926
190359,individual,2,3084
190360,compartido,4,18654
190361,compartido,2,5250
190362,individual,3,2132
190363,individual,2,18733
190364,individual,4,6259
190365,compartido,1,10219
190366,individual,1,6254
190367,compartido,2,644
190368,individual,3,13110
190369,individual,2,18650
190370,individual,3,781
190371,individual,3,12461
190372,compartido,3,7326
190373,compartido,3,793
190374,compartido,3,1869
190375,individual,3,5813
190376,compartido,1,4553
190377,compartido,1,9061
190378,individual,2,5488
190379,individual,1,2828
190380,compartido,3,18092
190381,individual,4,10980
190382,compartido,3,1659
190383,individual,2,12823
190384,compartido,4,13273
190385,individual,4,6862
190386,individual,4,7837
190387,individual,1,11286
190388,individual,3,15287
190389,compartido,3,8201
190390,compartido,3,3786
190391,compartido,4,2100
190392,individual,2,8670
190393,individual,3,12030
190394,compartido,4,15047
190395,compartido,2,3820
190396,individual,3,16690
190397,individual,4,19328
190398,compartido,3,93
190399,individual,2,17038
190400,individual,1,15984
190401,individual,2,2161
190402,compartido,3,17840
190403,individual,3,1224
190404,individual,3,12668
190405,compartido,1,2843
190406,compartido,1,7072
190407,compartido,1,11410
190408,compartido,4,11366
190409,compartido,4,19348
190410,individual,1,14547
190411,compartido,3,19698
190412,individual,2,19517
190413,individual,3,6617
190414,individual,4,10452
190415,individual,3,16266
190416,compartido,3,16027
190417,compartido,3,7135
190418,individual,4,7405
190419,individual,4,6312
190420,individual,1,15302
190421,compartido,2,7230
190422,compartido,1,11324
190423,compartido,2,15036
190424,compartido,3,13242
190425,individual,1,11283
190426,individual,1,8168
190427,individual,1,9006
190428,compartido,4,796
190429,individual,4,11122
190430,compartido,2,12651
190431,compartido,2,14166
190432,individual,4,15381
190433,compartido,3,15210
190434,individual,1,19580
190435,individual,1,19304
190436,individual,3,15087
190437,individual,4,18818
190438,compartido,2,10278
190439,individual,4,17602
190440,compartido,1,9348
190441,compartido,4,18800
190442,compartido,1,5130
190443,compartido,1,2985
190444,individual,4,15524
190445,compartido,2,16740
190446,individual,4,15822
190447,individual,4,15685
190448,individual,1,3329
190449,individual,1,9848
190450,individual,4,9485
190451,individual,1,5602
190452,individual,3,1894
190453,individual,4,1442
190454,compartido,2,13669
190455,compartido,1,19440
190456,compartido,1,12498
190457,individual,3,14424
190458,compartido,1,14125
190459,compartido,4,15290
190460,individual,3,1560
190461,compartido,3,11468
190462,compartido,2,6826
190463,compartido,1,1378
190464,compartido,3,4179
190465,compartido,2,19791
190466,compartido,4,12965
190467,compartido,2,7614
190468,individual,1,6129
190469,individual,3,3111
190470,compartido,3,6194
190471,compartido,2,10772
190472,compartido,2,3723
190473,individual,1,4873
190474,compartido,2,14038
190475,individual,3,3911
190476,individual,2,7818
190477,compartido,3,3536
190478,individual,3,11478
190479,individual,1,13240
190480,compartido,2,2792
190481,compartido,3,379
190482,compartido,3,7069
190483,individual,2,7460
190484,individual,4,3418
190485,compartido,4,11044
190486,compartido,2,1972
190487,individual,3,6795
190488,individual,3,5968
190489,individual,3,10633
190490,individual,4,18100
190491,individual,4,2071
190492,compartido,3,17059
190493,compartido,3,14272
190494,compartido,4,146
190495,individual,3,13821
190496,compartido,3,9525
190497,compartido,2,16569
190498,compartido,3,11626
190499,compartido,2,6638
190500,individual,4,13257
190501,individual,3,3650
190502,individual,3,6661
190503,compartido,2,18320
190504,compartido,3,6297
190505,individual,4,15563
190506,compartido,1,8518
190507,compartido,3,13142
190508,compartido,3,14818
190509,compartido,1,171
190510,individual,1,5515
190511,individual,2,14022
190512,individual,4,6042
190513,individual,4,18982
190514,compartido,4,708
190515,compartido,4,8323
190516,compartido,1,3969
190517,individual,4,11054
190518,compartido,4,13931
190519,individual,4,5240
190520,compartido,1,11718
190521,compartido,4,16149
190522,compartido,2,554
190523,individual,1,10642
190524,compartido,1,11860
190525,individual,3,19526
190526,individual,3,19051
190527,individual,4,13397
190528,individual,2,4633
190529,compartido,2,16922
190530,individual,1,4467
190531,individual,3,15650
190532,compartido,4,11820
190533,individual,1,6744
190534,individual,1,14669
190535,individual,4,5903
190536,individual,2,19692
190537,individual,3,19942
190538,individual,3,15532
190539,individual,3,10291
190540,compartido,4,10150
190541,individual,4,12026
190542,individual,2,10565
190543,compartido,2,2076
190544,individual,3,1637
190545,compartido,1,18134
190546,compartido,2,12607
190547,individual,3,1001
190548,compartido,2,2453
190549,individual,4,5671
190550,compartido,3,18124
190551,individual,2,3424
190552,compartido,4,9987
190553,compartido,2,5112
190554,compartido,3,3889
190555,individual,1,1326
190556,compartido,2,7519
190557,compartido,4,1212
190558,compartido,4,7216
190559,individual,3,10852
190560,compartido,3,1323
190561,compartido,3,13388
190562,compartido,1,8939
190563,compartido,2,16491
190564,individual,3,3953
190565,compartido,3,11581
190566,individual,3,12363
190567,compartido,1,6197
190568,compartido,3,10556
190569,individual,3,2578
190570,compartido,4,3164
190571,compartido,4,5375
190572,individual,4,13663
190573,compartido,4,388
190574,individual,1,1137
190575,individual,4,13392
190576,individual,4,4221
190577,individual,3,14953
190578,individual,3,192
190579,individual,2,7939
190580,individual,1,18354
190581,compartido,2,15726
190582,compartido,3,393
190583,individual,2,1133
190584,compartido,2,10543
190585,compartido,1,16152
190586,individual,3,15663
190587,compartido,1,16343
190588,compartido,3,17557
190589,individual,2,19732
190590,compartido,1,4952
190591,compartido,4,4232
190592,compartido,3,8203
190593,compartido,1,9268
190594,individual,2,17306
190595,individual,1,7448
190596,individual,1,8622
190597,compartido,4,5084
190598,individual,1,4210
190599,compartido,3,5521
190600,compartido,2,3884
190601,individual,2,13114
190602,compartido,1,2362
190603,compartido,4,18127
190604,individual,4,2313
190605,individual,3,5443
190606,individual,2,19299
190607,individual,4,7240
190608,compartido,3,12699
190609,compartido,2,6385
190610,compartido,2,18510
190611,individual,3,813
190612,individual,2,16236
190613,individual,1,11473
190614,compartido,2,9027
190615,individual,3,16998
190616,compartido,3,14323
190617,compartido,2,394
190618,compartido,1,9813
190619,compartido,2,1115
190620,compartido,3,12340
190621,compartido,1,5484
190622,individual,3,15670
190623,compartido,1,8144
190624,individual,1,1269
190625,individual,4,1327
190626,individual,4,8386
190627,compartido,1,3296
190628,compartido,4,11038
190629,compartido,4,6020
190630,individual,2,18231
190631,individual,3,10188
190632,individual,3,2509
190633,individual,4,11435
190634,individual,4,19173
190635,compartido,4,14204
190636,individual,3,19215
190637,compartido,4,18080
190638,compartido,4,19540
190639,compartido,3,7947
190640,compartido,2,8302
190641,individual,2,3780
190642,individual,2,16004
190643,individual,3,11172
190644,compartido,2,18369
190645,compartido,3,5069
190646,individual,4,4623
190647,individual,3,19955
190648,individual,3,12263
190649,compartido,1,14060
190650,compartido,2,17936
190651,individual,1,3326
190652,compartido,3,12467
190653,compartido,4,19428
190654,individual,4,10763
190655,individual,4,2676
190656,compartido,3,15113
190657,compartido,3,10248
190658,individual,2,9304
190659,compartido,1,5610
190660,compartido,3,8990
190661,individual,1,4113
190662,compartido,4,14424
190663,individual,1,9194
190664,individual,2,17703
190665,compartido,2,13890
190666,compartido,1,5
190667,individual,4,12650
190668,individual,1,7617
190669,individual,4,4715
190670,individual,1,10931
190671,compartido,2,4123
190672,compartido,3,16943
190673,individual,2,9382
190674,individual,2,4229
190675,individual,3,18878
190676,compartido,1,16230
190677,individual,3,902
190678,compartido,4,12424
190679,compartido,2,6960
190680,compartido,4,12448
190681,individual,4,3909
190682,individual,1,4227
190683,individual,1,14675
190684,individual,1,9759
190685,individual,4,10612
190686,compartido,4,1024
190687,compartido,1,1806
190688,individual,3,1913
190689,individual,3,18964
190690,individual,2,2066
190691,compartido,4,7579
190692,individual,4,11239
190693,compartido,1,6460
190694,compartido,4,17665
190695,individual,2,975
190696,individual,3,5970
190697,compartido,2,10910
190698,individual,3,11753
190699,individual,3,15389
190700,compartido,2,10051
190701,compartido,4,17246
190702,individual,1,9503
190703,individual,1,18794
190704,compartido,2,9374
190705,compartido,4,8629
190706,individual,4,13890
190707,compartido,1,3802
190708,compartido,3,8515
190709,individual,3,18369
190710,individual,3,2906
190711,individual,2,3021
190712,individual,2,2379
190713,compartido,4,1833
190714,compartido,4,5981
190715,individual,4,3084
190716,compartido,3,5159
190717,individual,2,19179
190718,compartido,2,14142
190719,individual,3,6107
190720,compartido,4,6196
190721,compartido,3,14001
190722,compartido,1,11432
190723,compartido,1,8919
190724,individual,4,13121
190725,individual,2,1160
190726,individual,3,12526
190727,individual,1,2480
190728,individual,3,4548
190729,compartido,1,19613
190730,compartido,2,18036
190731,compartido,3,8623
190732,compartido,3,8273
190733,compartido,4,3149
190734,individual,4,6297
190735,compartido,1,1323
190736,individual,2,2772
190737,compartido,1,4170
190738,individual,2,9708
190739,compartido,2,8665
190740,compartido,3,18397
190741,compartido,2,5487
190742,individual,3,6858
190743,individual,2,14639
190744,individual,4,11570
190745,individual,2,15424
190746,individual,1,17068
190747,individual,2,18188
190748,compartido,2,1922
190749,compartido,4,6303
190750,compartido,1,2489
190751,individual,2,15646
190752,compartido,3,9713
190753,compartido,2,645
190754,individual,4,1493
190755,individual,1,13612
190756,compartido,2,16863
190757,individual,2,10919
190758,compartido,1,1640
190759,compartido,4,6876
190760,compartido,3,14553
190761,individual,1,11001
190762,individual,1,2735
190763,compartido,2,2034
190764,compartido,1,11055
190765,individual,2,2510
190766,individual,3,18504
190767,individual,4,9875
190768,compartido,1,16094
190769,individual,2,13117
190770,compartido,4,5773
190771,compartido,3,10329
190772,individual,2,6834
190773,individual,4,10927
190774,individual,2,1287
190775,individual,4,17227
190776,individual,1,1311
190777,compartido,4,13716
190778,compartido,2,17669
190779,compartido,4,9873
190780,compartido,1,6778
190781,compartido,2,7978
190782,individual,4,5950
190783,compartido,4,847
190784,compartido,4,14945
190785,individual,4,19128
190786,individual,1,9845
190787,compartido,4,17605
190788,compartido,2,4804
190789,compartido,2,16564
190790,compartido,1,7015
190791,individual,1,11604
190792,individual,1,8341
190793,individual,4,157
190794,individual,3,11242
190795,individual,3,3449
190796,individual,1,17943
190797,compartido,4,12740
190798,compartido,4,7260
190799,compartido,1,16823
190800,compartido,3,7533
190801,individual,2,2682
190802,compartido,2,9263
190803,compartido,3,6216
190804,compartido,1,11557
190805,compartido,2,6827
190806,individual,2,4537
190807,individual,2,7324
190808,compartido,2,9150
190809,individual,4,11664
190810,compartido,1,9205
190811,individual,1,7847
190812,individual,4,3715
190813,individual,4,8321
190814,compartido,4,11773
190815,individual,4,543
190816,individual,2,16148
190817,compartido,1,19820
190818,compartido,2,9725
190819,compartido,1,16042
190820,compartido,4,5526
190821,compartido,3,5757
190822,compartido,1,1327
190823,individual,1,1166
190824,individual,4,19375
190825,individual,3,16429
190826,compartido,3,19935
190827,compartido,4,17982
190828,individual,4,4950
190829,compartido,2,10328
190830,compartido,4,1173
190831,compartido,1,4138
190832,compartido,1,4511
190833,compartido,1,17168
190834,individual,3,7037
190835,compartido,1,8866
190836,individual,4,1446
190837,compartido,2,11242
190838,compartido,2,10040
190839,compartido,4,7300
190840,individual,1,13361
190841,compartido,1,18053
190842,compartido,2,5519
190843,individual,4,14142
190844,individual,1,4516
190845,individual,2,7136
190846,individual,1,5854
190847,compartido,1,2222
190848,individual,1,4710
190849,compartido,4,5813
190850,compartido,2,9456
190851,compartido,4,11315
190852,compartido,3,8025
190853,compartido,4,10456
190854,individual,4,89
190855,compartido,1,235
190856,individual,4,6146
190857,compartido,4,10834
190858,compartido,2,19626
190859,individual,3,10540
190860,compartido,1,3334
190861,individual,1,10731
190862,individual,1,7600
190863,individual,1,14683
190864,individual,4,3280
190865,individual,2,2628
190866,individual,4,6218
190867,compartido,1,17788
190868,individual,3,14191
190869,individual,3,12370
190870,compartido,3,11148
190871,individual,3,9850
190872,individual,4,19339
190873,compartido,1,13638
190874,individual,2,13776
190875,individual,3,13550
190876,compartido,1,15696
190877,individual,3,1736
190878,compartido,2,1300
190879,individual,4,3985
190880,individual,2,14806
190881,compartido,1,6148
190882,compartido,4,6972
190883,individual,1,10730
190884,compartido,4,2405
190885,compartido,3,14206
190886,compartido,2,19793
190887,compartido,3,6189
190888,individual,3,7734
190889,compartido,1,6978
190890,individual,2,4463
190891,individual,3,6188
190892,compartido,1,9469
190893,compartido,4,16803
190894,individual,3,14327
190895,compartido,2,18010
190896,compartido,3,19390
190897,individual,3,10211
190898,individual,1,2855
190899,compartido,4,12037
190900,compartido,4,7076
190901,compartido,4,17516
190902,compartido,4,5356
190903,individual,2,2960
190904,compartido,3,7462
190905,individual,1,261
190906,compartido,3,14846
190907,compartido,4,8550
190908,individual,1,1461
190909,compartido,2,813
190910,individual,2,15766
190911,compartido,3,1344
190912,compartido,3,9783
190913,individual,4,16048
190914,individual,4,17453
190915,individual,1,9049
190916,compartido,1,13966
190917,compartido,3,18060
190918,individual,3,13740
190919,individual,3,9630
190920,compartido,3,5807
190921,compartido,2,2001
190922,compartido,2,14772
190923,compartido,1,6515
190924,individual,2,4220
190925,compartido,1,6557
190926,individual,1,10796
190927,individual,4,5936
190928,individual,2,14776
190929,compartido,2,9727
190930,compartido,4,7658
190931,individual,2,7023
190932,compartido,4,7673
190933,compartido,2,14445
190934,individual,4,12884
190935,individual,4,4202
190936,compartido,1,13446
190937,compartido,2,12176
190938,individual,1,2442
190939,compartido,2,14727
190940,compartido,4,2998
190941,compartido,2,5855
190942,individual,3,7890
190943,compartido,3,19859
190944,individual,3,10942
190945,individual,2,18997
190946,compartido,1,8663
190947,individual,4,5470
190948,compartido,2,11998
190949,individual,1,963
190950,individual,2,12353
190951,individual,3,19975
190952,compartido,2,10533
190953,compartido,1,5454
190954,individual,1,8508
190955,compartido,2,11266
190956,compartido,4,11522
190957,compartido,4,6289
190958,individual,2,88
190959,individual,2,18827
190960,individual,4,1713
190961,individual,4,16684
190962,individual,1,19756
190963,individual,4,12763
190964,compartido,3,19069
190965,individual,2,9651
190966,compartido,4,295
190967,individual,1,2386
190968,compartido,1,12508
190969,compartido,3,2936
190970,individual,4,18597
190971,compartido,2,2624
190972,individual,4,905
190973,compartido,4,1419
190974,compartido,4,15858
190975,individual,1,16260
190976,compartido,4,12416
190977,individual,4,17678
190978,compartido,1,6097
190979,individual,4,10649
190980,individual,3,10074
190981,individual,2,5866
190982,individual,2,6673
190983,individual,2,6991
190984,compartido,4,1840
190985,individual,2,7094
190986,individual,3,9457
190987,individual,1,10909
190988,compartido,4,15849
190989,compartido,1,6874
190990,individual,2,479
190991,compartido,1,11785
190992,individual,3,5772
190993,compartido,4,18372
190994,compartido,3,6311
190995,individual,3,19951
190996,individual,4,10541
190997,compartido,2,15574
190998,individual,1,1158
190999,individual,3,19816
191000,individual,2,13852
191001,individual,3,15289
191002,individual,4,8495
191003,individual,4,10697
191004,compartido,3,14665
191005,compartido,4,16541
191006,individual,4,11727
191007,compartido,3,10415
191008,compartido,3,3278
191009,individual,1,18937
191010,compartido,4,10699
191011,compartido,3,1826
191012,individual,3,16311
191013,compartido,2,14435
191014,individual,2,12609
191015,compartido,3,5899
191016,individual,1,5718
191017,individual,2,15573
191018,individual,3,19486
191019,compartido,3,10396
191020,individual,2,3371
191021,individual,3,16601
191022,individual,1,16120
191023,individual,1,940
191024,individual,1,922
191025,compartido,3,7916
191026,compartido,4,15570
191027,individual,3,10269
191028,compartido,2,3781
191029,compartido,2,4435
191030,individual,4,19959
191031,compartido,1,16835
191032,individual,4,15826
191033,compartido,1,6372
191034,compartido,2,5207
191035,individual,4,18300
191036,compartido,4,7353
191037,individual,4,12762
191038,individual,1,4136
191039,individual,3,12163
191040,compartido,2,2519
191041,individual,4,52
191042,compartido,1,6723
191043,compartido,2,16296
191044,compartido,4,12184
191045,compartido,4,6857
191046,compartido,2,15653
191047,individual,4,11211
191048,individual,4,989
191049,individual,4,16672
191050,individual,3,14834
191051,compartido,4,8015
191052,individual,1,12965
191053,individual,4,18411
191054,individual,1,12426
191055,compartido,3,19800
191056,individual,3,18800
191057,compartido,3,11333
191058,individual,2,17957
191059,compartido,4,14703
191060,compartido,3,2446
191061,compartido,1,4234
191062,compartido,2,7497
191063,compartido,4,11444
191064,compartido,3,13143
191065,individual,2,4825
191066,individual,3,11996
191067,compartido,3,5807
191068,compartido,2,9056
191069,individual,1,2850
191070,compartido,1,7188
191071,individual,3,2790
191072,compartido,2,4189
191073,individual,3,2566
191074,compartido,4,13924
191075,individual,3,3264
191076,compartido,2,7991
191077,individual,3,12434
191078,individual,3,5102
191079,individual,2,11008
191080,individual,1,2583
191081,compartido,1,6442
191082,compartido,3,320
191083,compartido,4,14753
191084,compartido,4,727
191085,compartido,1,19768
191086,compartido,3,2798
191087,compartido,2,17878
191088,individual,3,152
191089,individual,3,14377
191090,individual,3,14339
191091,compartido,3,17579
191092,individual,2,10474
191093,individual,4,11407
191094,individual,1,13585
191095,compartido,1,18970
191096,individual,3,12586
191097,individual,4,19850
191098,individual,2,12656
191099,compartido,3,9930
191100,individual,2,2627
191101,compartido,2,17622
191102,compartido,2,783
191103,compartido,1,6420
191104,compartido,4,18725
191105,individual,4,18099
191106,compartido,2,15141
191107,individual,4,14434
191108,compartido,3,1510
191109,individual,4,11054
191110,compartido,2,12376
191111,individual,1,10201
191112,compartido,2,8035
191113,individual,3,16938
191114,compartido,2,3265
191115,compartido,2,2104
191116,compartido,2,12001
191117,individual,2,9658
191118,individual,3,11890
191119,compartido,3,321
191120,individual,1,11548
191121,individual,1,9178
191122,individual,3,14147
191123,compartido,3,6097
191124,individual,4,458
191125,compartido,2,5
191126,compartido,4,11596
191127,compartido,1,3062
191128,individual,1,12937
191129,compartido,2,17017
191130,individual,2,16031
191131,individual,4,12774
191132,individual,4,10240
191133,individual,2,9597
191134,compartido,1,2999
191135,compartido,3,8666
191136,compartido,2,12877
191137,individual,2,1657
191138,individual,3,17787
191139,individual,1,18661
191140,individual,4,16663
191141,compartido,1,9007
191142,compartido,4,5872
191143,compartido,2,5438
191144,compartido,4,12486
191145,compartido,3,7400
191146,individual,4,13140
191147,compartido,4,16389
191148,individual,1,1104
191149,compartido,1,11561
191150,individual,4,14423
191151,individual,1,10688
191152,individual,3,12089
191153,individual,3,19758
191154,individual,2,1282
191155,compartido,2,8517
191156,individual,1,3437
191157,individual,1,11771
191158,individual,1,16215
191159,individual,4,8700
191160,compartido,1,1019
191161,compartido,4,14647
191162,individual,2,6445
191163,compartido,2,12284
191164,compartido,1,4341
191165,individual,4,18639
191166,compartido,3,7548
191167,compartido,3,7167
191168,individual,4,9904
191169,compartido,2,3446
191170,compartido,2,7116
191171,compartido,4,11742
191172,compartido,2,11222
191173,individual,4,10669
191174,individual,2,643
191175,individual,4,5635
191176,compartido,3,10960
191177,individual,3,16193
191178,compartido,4,6230
191179,compartido,3,19703
191180,individual,2,7626
191181,compartido,4,12506
191182,compartido,3,18725
191183,individual,1,7109
191184,individual,3,17141
191185,compartido,4,9941
191186,individual,4,727
191187,individual,3,6570
191188,individual,4,1266
191189,individual,3,18306
191190,individual,4,19584
191191,compartido,2,16272
191192,individual,2,1364
191193,individual,3,666
191194,individual,1,1786
191195,individual,1,5458
191196,compartido,2,2142
191197,compartido,3,3034
191198,individual,3,7519
191199,individual,3,3632
191200,individual,4,9041
191201,individual,2,5559
191202,compartido,2,5546
191203,compartido,1,2085
191204,compartido,2,12856
191205,individual,2,1037
191206,compartido,3,8099
191207,compartido,3,2746
191208,individual,4,17993
191209,compartido,1,12773
191210,individual,1,9608
191211,individual,2,407
191212,compartido,1,18243
191213,compartido,1,13754
191214,compartido,1,7439
191215,compartido,1,7155
