ID,AFORO,IDHOSTAL
230151,2,1425
230152,3,17607
230153,9,12216
230154,1,5813
230155,9,2650
230156,3,17090
230157,9,3772
230158,2,9256
230159,7,16713
230160,9,18
230161,9,618
230162,6,7758
230163,8,11787
230164,4,14964
230165,4,17717
230166,5,5833
230167,1,11145
230168,9,17167
230169,7,11111
230170,4,8770
230171,2,16861
230172,3,5280
230173,10,3846
230174,1,9166
230175,5,9818
230176,1,14941
230177,10,10333
230178,8,19555
230179,2,6994
230180,8,18163
230181,6,4719
230182,9,6775
230183,3,5269
230184,10,18955
230185,8,8261
230186,10,3596
230187,4,1856
230188,5,1146
230189,9,15528
230190,7,1578
230191,2,11369
230192,8,12633
230193,5,4564
230194,5,12447
230195,4,18155
230196,9,3437
230197,2,3401
230198,6,9738
230199,10,7578
230200,6,11905
230201,9,8409
230202,6,19298
230203,2,7541
230204,3,10770
230205,5,12355
230206,1,11532
230207,3,1002
230208,7,10200
230209,1,1924
230210,5,10951
230211,4,6049
230212,4,4701
230213,7,14871
230214,8,6488
230215,8,14698
230216,6,10333
230217,9,14544
230218,8,15177
230219,3,8924
230220,9,5348
230221,4,16028
230222,5,17279
230223,8,2658
230224,9,3602
230225,8,1297
230226,6,19030
230227,6,11519
230228,5,16798
230229,5,5395
230230,1,10813
230231,5,17277
230232,4,4312
230233,3,1548
230234,10,1460
230235,8,14005
230236,4,12881
230237,5,18269
230238,1,8365
230239,2,5737
230240,10,6735
230241,1,18293
230242,2,13539
230243,1,15379
230244,1,19920
230245,8,10005
230246,4,14254
230247,7,17344
230248,2,12038
230249,7,17596
230250,4,10005
230251,4,12422
230252,2,18894
230253,3,7606
230254,6,8578
230255,8,13026
230256,4,14443
230257,7,11562
230258,9,11713
230259,1,5826
230260,3,686
230261,3,10072
230262,8,61
230263,4,17270
230264,3,4296
230265,6,16014
230266,5,18132
230267,7,8011
230268,9,19981
230269,7,11843
230270,1,1360
230271,7,19684
230272,7,3318
230273,7,5221
230274,2,8582
230275,7,5104
230276,9,18116
230277,10,6463
230278,5,12103
230279,6,15657
230280,4,14519
230281,7,2583
230282,3,8043
230283,1,12473
230284,10,18398
230285,2,13951
230286,9,13289
230287,6,3258
230288,7,11920
230289,3,16461
230290,3,11493
230291,4,16918
230292,10,7627
230293,2,4222
230294,1,3964
230295,1,5040
230296,5,12627
230297,9,11556
230298,1,397
230299,4,950
230300,2,13153
230301,1,18032
230302,1,2894
230303,7,5999
230304,8,6192
230305,7,15829
230306,4,1606
230307,8,808
230308,8,5766
230309,6,13977
230310,6,7781
230311,9,12582
230312,8,14469
230313,8,16720
230314,3,19282
230315,3,6330
230316,7,8694
230317,1,9770
230318,4,12543
230319,6,18886
230320,6,7368
230321,9,10313
230322,7,6639
230323,6,16161
230324,2,17170
230325,6,13575
230326,6,723
230327,6,19028
230328,3,10037
230329,9,15562
230330,7,7133
230331,6,4107
230332,2,19090
230333,5,395
230334,3,810
230335,7,16968
230336,4,12761
230337,9,12331
230338,4,9806
230339,3,4163
230340,5,3602
230341,8,19523
230342,5,161
230343,7,15227
230344,5,9977
230345,1,6246
230346,10,13837
230347,1,2090
230348,3,8835
230349,8,10140
230350,5,11000
230351,3,6152
230352,9,7648
230353,1,15378
230354,2,1545
230355,5,6214
230356,5,9771
230357,5,956
230358,8,16032
230359,9,8952
230360,7,9168
230361,9,13880
230362,1,3056
230363,6,17203
230364,6,3729
230365,10,8636
230366,4,8603
230367,6,15852
230368,4,8345
230369,4,18248
230370,8,11838
230371,9,15082
230372,8,6194
230373,1,6557
230374,10,18807
230375,6,6461
230376,6,19507
230377,8,14784
230378,2,12366
230379,5,5823
230380,4,2341
230381,7,7838
230382,10,14828
230383,7,5683
230384,8,5765
230385,9,18187
230386,6,19568
230387,10,1369
230388,4,2972
230389,5,8661
230390,2,15001
230391,2,15578
230392,8,16329
230393,3,9947
230394,9,6037
230395,7,9411
230396,2,12940
230397,5,4877
230398,9,8841
230399,6,8477
230400,4,5278
230401,10,13355
230402,5,8568
230403,2,18263
230404,3,15818
230405,2,5906
230406,2,14113
230407,4,8082
230408,8,13219
230409,4,11240
230410,10,3292
230411,6,5298
230412,2,6314
230413,9,6741
230414,6,8902
230415,10,3555
230416,8,6840
230417,5,2174
230418,1,18351
230419,8,9053
230420,9,19339
230421,4,4795
230422,7,18187
230423,3,7145
230424,1,19911
230425,7,7759
230426,10,14904
230427,2,18517
230428,8,5224
230429,8,1574
230430,3,4279
230431,1,11523
230432,6,11818
230433,9,6100
230434,3,3624
230435,10,11722
230436,1,8630
230437,3,16209
230438,10,2185
230439,6,9806
230440,9,19011
230441,10,15396
230442,9,351
230443,3,13909
230444,8,19058
230445,6,13463
230446,2,4107
230447,6,16969
230448,7,12004
230449,7,3050
230450,1,11453
230451,3,13777
230452,10,2205
230453,10,16485
230454,10,130
230455,3,2023
230456,8,810
230457,4,16796
230458,9,7553
230459,10,13771
230460,4,4112
230461,5,15831
230462,2,18588
230463,10,14487
230464,3,8402
230465,4,17923
230466,7,11023
230467,1,10534
230468,8,19040
230469,10,8765
230470,4,10450
230471,1,11280
230472,8,11123
230473,6,12846
230474,9,19172
230475,4,4111
230476,3,17090
230477,8,8421
230478,9,18817
230479,7,1498
230480,1,6918
230481,5,478
230482,5,5260
230483,9,15935
230484,10,1
230485,5,5274
230486,7,6122
230487,6,8817
230488,3,6134
230489,9,17390
230490,5,882
230491,6,12223
230492,5,11781
230493,3,17967
230494,4,6729
230495,10,7504
230496,2,3387
230497,10,14278
230498,5,7679
230499,6,6450
230500,4,4850
230501,2,2156
230502,6,17665
230503,7,16510
230504,3,18769
230505,8,15861
230506,9,13220
230507,5,8475
230508,5,11014
230509,9,11566
230510,8,2751
230511,3,16919
230512,1,19478
230513,3,11607
230514,2,4470
230515,7,15439
230516,4,17322
230517,5,7276
230518,3,1750
230519,9,1454
230520,7,11272
230521,6,3649
230522,8,8205
230523,5,9679
230524,9,173
230525,6,3825
230526,3,16461
230527,9,2838
230528,4,2811
230529,9,4837
230530,6,13966
230531,10,4198
230532,4,5020
230533,5,5515
230534,4,738
230535,4,3305
230536,8,1015
230537,10,9566
230538,10,15830
230539,10,576
230540,4,15146
230541,2,15483
230542,7,13456
230543,3,1327
230544,4,11368
230545,3,11363
230546,6,723
230547,3,4248
230548,4,18413
230549,5,6000
230550,2,10039
230551,9,1478
230552,3,10663
230553,9,9397
230554,3,17729
230555,6,18631
230556,2,3815
230557,4,93
230558,1,15232
230559,9,12927
230560,4,434
230561,8,11820
230562,1,7335
230563,7,15898
230564,3,2935
230565,7,17316
230566,5,1017
230567,7,16276
230568,6,6189
230569,1,11278
230570,4,15159
230571,8,19881
230572,10,14608
230573,10,6770
230574,8,4479
230575,2,11178
230576,1,1352
230577,7,780
230578,5,12743
230579,1,7099
230580,3,19720
230581,9,14561
230582,9,2771
230583,8,6653
230584,4,14322
230585,10,7705
230586,2,10568
230587,6,5280
230588,7,16326
230589,6,7286
230590,8,112
230591,6,19794
230592,1,14932
230593,4,18123
230594,6,16445
230595,2,6354
230596,3,18794
230597,3,10945
230598,10,1823
230599,7,6349
230600,8,14002
230601,8,11369
230602,1,15610
230603,6,8437
230604,5,2465
230605,3,13597
230606,9,15440
230607,7,7170
230608,9,3247
230609,5,2229
230610,9,5200
230611,8,19435
230612,9,11315
230613,8,14473
230614,7,15038
230615,4,18364
230616,3,874
230617,3,6494
230618,8,12542
230619,1,10214
230620,1,13114
230621,2,18053
230622,6,1624
230623,10,7424
230624,3,4613
230625,7,16709
230626,5,16425
230627,3,18676
230628,7,5109
230629,7,11421
230630,5,1215
230631,5,17866
230632,8,3186
230633,7,9615
230634,5,4876
230635,10,2412
230636,1,14893
230637,5,19944
230638,5,10170
230639,9,19784
230640,6,9915
230641,9,6361
230642,6,8220
230643,8,14166
230644,3,1708
230645,10,465
230646,6,1174
230647,6,14091
230648,1,89
230649,9,13585
230650,2,9133
230651,8,8822
230652,8,127
230653,10,17654
230654,3,2891
230655,3,15708
230656,6,3698
230657,9,18534
230658,9,9903
230659,9,2867
230660,6,12199
230661,7,11774
230662,6,1138
230663,10,4037
230664,2,13566
230665,8,2073
230666,1,2601
230667,3,18759
230668,5,17806
230669,6,13634
230670,7,19277
230671,4,14591
230672,1,19268
230673,7,6970
230674,7,6349
230675,1,4583
230676,10,9168
230677,1,10877
230678,6,3517
230679,5,14850
230680,7,9940
230681,3,5742
230682,9,14295
230683,1,19697
230684,6,4943
230685,3,15588
230686,8,14754
230687,4,19369
230688,10,8236
230689,1,12556
230690,1,4010
230691,9,2758
230692,8,3231
230693,1,17776
230694,3,9940
230695,8,17590
230696,8,1711
230697,4,6543
230698,7,4215
230699,8,18684
230700,7,4499
230701,10,14874
230702,6,12974
230703,8,9685
230704,1,13652
230705,10,6938
230706,7,8634
230707,6,8775
230708,8,7925
230709,9,8225
230710,2,7394
230711,1,17257
230712,3,9043
230713,5,16299
230714,1,18167
230715,6,17731
230716,3,1717
230717,3,10298
230718,5,788
230719,1,4320
230720,6,5514
230721,6,7602
230722,7,7378
230723,2,1298
230724,9,3391
230725,3,9892
230726,5,5403
230727,9,6457
230728,4,8103
230729,6,19239
230730,8,8578
230731,1,10978
230732,10,5457
230733,5,4823
230734,2,5101
230735,8,8593
230736,5,12722
230737,10,9749
230738,6,5125
230739,3,14361
230740,2,19607
230741,7,18812
230742,5,2694
230743,4,5714
230744,1,4595
230745,2,5693
230746,5,15918
230747,8,401
230748,4,4189
230749,6,4301
230750,4,11060
230751,10,10930
230752,8,8753
230753,3,12538
230754,6,13738
230755,6,12957
230756,5,4508
230757,6,7910
230758,3,12575
230759,1,17083
230760,2,5142
230761,7,4122
230762,1,9523
230763,6,4682
230764,2,6312
230765,9,379
230766,6,19548
230767,9,8207
230768,1,10919
230769,9,96
230770,8,14587
230771,9,15731
230772,10,14085
230773,4,8385
230774,1,15042
230775,6,2858
230776,6,14758
230777,2,16625
230778,5,14114
230779,2,10184
230780,7,9570
230781,1,7957
230782,3,1031
230783,3,18509
230784,1,12736
230785,2,97
230786,9,9103
230787,4,2071
230788,10,14191
230789,10,18705
230790,10,1994
230791,7,19140
230792,2,15069
230793,3,8172
230794,10,3761
230795,3,18182
230796,3,16450
230797,9,19040
230798,1,7531
230799,3,11907
230800,2,6938
230801,5,13898
230802,6,10700
230803,6,18208
230804,5,16283
230805,4,8526
230806,5,802
230807,9,3604
230808,6,9322
230809,9,16796
230810,8,8688
230811,5,19689
230812,3,6089
230813,8,5020
230814,6,160
230815,8,17639
230816,2,19457
230817,10,10797
230818,6,12137
230819,4,1241
230820,1,3147
230821,5,12392
230822,5,46
230823,1,17970
230824,9,7516
230825,10,19811
230826,9,13256
230827,6,18044
230828,4,4702
230829,2,11488
230830,3,19887
230831,7,17693
230832,3,14906
230833,6,9204
230834,9,11377
230835,6,5261
230836,5,4150
230837,1,18123
230838,5,9075
230839,5,13633
230840,1,8084
230841,4,17439
230842,3,3410
230843,6,18354
230844,1,19727
230845,8,8543
230846,4,2159
230847,1,12849
230848,10,15294
230849,7,7065
230850,3,10217
230851,9,10329
230852,2,14168
230853,5,4053
230854,9,6537
230855,2,12982
230856,1,14818
230857,10,7282
230858,4,10324
230859,5,9103
230860,5,15111
230861,5,18700
230862,5,10293
230863,3,3370
230864,7,18221
230865,6,19349
230866,6,5021
230867,9,11302
230868,9,5399
230869,7,2934
230870,3,14868
230871,9,4424
230872,7,4203
230873,8,3893
230874,1,18331
230875,3,12553
230876,2,6463
230877,4,2897
230878,4,4206
230879,10,9311
230880,2,226
230881,9,17670
230882,10,10622
230883,6,15718
230884,9,8375
230885,2,6948
230886,1,7996
230887,6,9591
230888,7,3606
230889,4,8029
230890,3,603
230891,5,15122
230892,8,12400
230893,3,15398
230894,10,4781
230895,2,1947
230896,9,7899
230897,4,5638
230898,1,10767
230899,8,17992
230900,7,15698
230901,6,7837
230902,10,9429
230903,10,2223
230904,9,6549
230905,1,12513
230906,8,19311
230907,10,1113
230908,6,8573
230909,1,8925
230910,10,3445
230911,2,271
230912,5,17698
230913,10,9929
230914,10,19805
230915,5,8297
230916,7,16863
230917,7,6225
230918,1,17346
230919,1,18606
230920,7,2206
230921,7,18463
230922,8,15412
230923,1,6546
230924,9,7737
230925,4,14762
230926,4,14556
230927,3,2095
230928,10,13197
230929,6,3828
230930,8,17908
230931,9,12613
230932,10,3232
230933,2,2198
230934,5,6341
230935,7,5370
230936,6,17305
230937,3,12947
230938,4,13645
230939,5,15339
230940,1,12820
230941,10,19231
230942,1,14820
230943,5,109
230944,4,15590
230945,3,19583
230946,10,15096
230947,9,11931
230948,8,1755
230949,6,5270
230950,5,10799
230951,4,9609
230952,7,18587
230953,1,8182
230954,5,3676
230955,4,13935
230956,9,11325
230957,4,12880
230958,6,2139
230959,2,404
230960,6,14440
230961,8,367
230962,5,1437
230963,9,10284
230964,1,19325
230965,5,6611
230966,6,16319
230967,8,6961
230968,9,11967
230969,3,13282
230970,7,16805
230971,3,6514
230972,1,10057
230973,1,10602
230974,4,9523
230975,1,8870
230976,4,8351
230977,9,10107
230978,4,14886
230979,2,4777
230980,7,339
230981,2,5779
230982,3,12248
230983,1,9133
230984,3,13514
230985,10,5045
230986,4,3375
230987,2,9637
230988,1,14651
230989,4,10028
230990,4,7259
230991,2,10632
230992,8,10447
230993,6,14900
230994,2,13202
230995,3,19219
230996,8,145
230997,5,3904
230998,6,5222
230999,3,8353
231000,5,11243
231001,7,10894
231002,4,5793
231003,7,13391
231004,10,5704
231005,7,5207
231006,3,7224
231007,3,9056
231008,7,13909
231009,1,714
231010,6,11577
231011,6,19718
231012,4,3285
231013,2,5852
231014,6,4377
231015,9,11401
231016,10,2296
231017,3,18341
231018,6,12708
231019,10,8261
231020,3,1364
231021,2,469
231022,1,2980
231023,7,7598
231024,2,4679
231025,6,2744
231026,7,16967
231027,10,1331
231028,3,1357
231029,10,19821
231030,10,8314
231031,7,3543
231032,1,9024
231033,1,14327
231034,1,11759
231035,1,2563
231036,8,13649
231037,2,3820
231038,3,15247
231039,4,5412
231040,10,15855
231041,7,19282
231042,10,5930
231043,7,7871
231044,7,4628
231045,3,9165
231046,9,7323
231047,9,8670
231048,6,15241
231049,3,14593
231050,3,17464
231051,8,15156
231052,10,4759
231053,10,17565
231054,9,12368
231055,3,2914
231056,5,4831
231057,3,5431
231058,6,6809
231059,6,1105
231060,8,12623
231061,1,4063
231062,10,11785
231063,4,7230
231064,1,18759
231065,4,16470
231066,2,278
231067,6,18070
231068,8,4841
231069,8,19535
231070,6,7652
231071,7,10862
231072,7,12901
231073,9,984
231074,9,7266
231075,7,2078
231076,6,2617
231077,10,19313
231078,5,18836
231079,4,4498
231080,7,4301
231081,9,12666
231082,5,15318
231083,6,18348
231084,4,10040
231085,1,9447
231086,5,18889
231087,10,5164
231088,1,17126
231089,10,9183
231090,5,1983
231091,8,10759
231092,4,14247
231093,4,4532
231094,7,8383
231095,6,16210
231096,9,10945
231097,4,15044
231098,5,6761
231099,3,3783
231100,5,2237
231101,9,1801
231102,4,3076
231103,1,10619
231104,5,13344
231105,9,15554
231106,7,17225
231107,7,2251
231108,9,5737
231109,8,19865
231110,3,5526
231111,6,4886
231112,9,1160
231113,3,1605
231114,10,303
231115,4,11421
231116,5,15173
231117,1,8097
231118,7,11171
231119,5,15736
231120,6,1175
231121,10,6991
231122,3,14551
231123,8,2905
231124,3,1251
231125,9,19993
231126,3,13316
231127,4,9670
231128,3,9987
231129,4,10982
231130,9,8383
231131,6,9580
231132,2,15464
231133,10,9577
231134,3,11097
231135,2,15631
231136,8,14553
231137,7,12997
231138,4,14520
231139,5,16379
231140,9,10559
231141,5,11057
231142,6,18809
231143,3,4105
231144,5,11762
231145,5,19132
231146,2,16717
231147,1,6861
231148,4,16270
231149,3,10495
231150,9,8823
231151,1,3021
231152,7,6091
231153,2,3975
231154,2,17835
231155,5,19895
231156,5,15550
231157,7,13974
231158,4,8781
231159,10,895
231160,9,4072
231161,10,748
231162,5,17988
231163,5,6424
231164,5,17684
231165,7,12649
231166,2,6045
231167,7,11843
231168,2,5155
231169,6,9834
231170,7,457
231171,9,3051
231172,8,2934
231173,1,2764
231174,7,991
231175,5,2904
231176,7,16815
231177,9,19585
231178,9,5517
231179,8,8908
231180,5,12364
231181,10,7041
231182,9,685
231183,7,17720
231184,10,137
231185,5,3175
231186,8,17072
231187,7,6001
231188,4,11494
231189,6,14005
231190,5,11788
231191,3,2493
231192,10,6086
231193,9,142
231194,9,7199
231195,6,9361
231196,9,19614
231197,4,6097
231198,1,7127
231199,9,9068
231200,7,1043
231201,4,3777
231202,10,6175
231203,3,1406
231204,1,5935
231205,7,7279
231206,1,4769
231207,5,11429
231208,8,4897
231209,6,8311
231210,10,10498
231211,3,12631
231212,2,16318
231213,2,9324
231214,8,1834
231215,3,9762
231216,8,14571
231217,3,5804
231218,7,5485
231219,2,13157
231220,10,7809
231221,8,13435
231222,1,19166
231223,1,686
231224,7,9684
231225,10,3994
231226,7,19332
231227,5,6142
231228,4,3081
231229,1,16485
231230,3,18173
231231,6,7816
231232,9,18347
231233,9,10806
231234,10,3275
231235,9,19912
231236,8,6124
231237,7,8644
231238,1,16061
231239,3,16427
231240,4,17424
231241,7,9425
231242,4,16058
231243,5,12586
231244,10,2210
231245,10,19975
231246,4,14372
231247,6,4791
231248,2,11659
231249,10,9471
231250,3,19933
231251,3,5014
231252,7,7675
231253,7,2200
231254,1,12698
231255,9,5155
231256,5,1844
231257,10,820
231258,3,13752
231259,5,1357
231260,7,16652
231261,3,8470
231262,3,8620
231263,2,11785
231264,2,6613
231265,8,7372
231266,4,15045
231267,7,8330
231268,6,19735
231269,6,7831
231270,6,5892
231271,2,100
231272,1,17698
231273,8,1965
231274,9,9740
231275,3,1998
231276,1,19071
231277,8,7152
231278,3,12628
231279,9,18228
231280,2,2905
231281,8,17551
231282,7,10546
231283,8,18469
231284,4,2476
231285,1,5106
231286,4,12949
231287,10,5409
231288,9,13704
231289,2,14635
231290,7,5083
231291,7,18463
231292,7,8156
231293,9,7890
231294,3,4805
231295,9,12871
231296,10,19231
231297,3,15618
231298,4,14262
231299,8,11275
231300,4,18925
231301,1,12416
231302,1,6717
231303,5,6849
231304,3,331
231305,5,7520
231306,4,16239
231307,3,4233
231308,2,18931
231309,7,6614
231310,4,10053
231311,8,17761
231312,3,4046
231313,7,8169
231314,10,19568
231315,1,15699
231316,4,4829
231317,3,16803
231318,3,7649
231319,6,5079
231320,2,9122
231321,9,11390
231322,9,19537
231323,3,16062
231324,5,145
231325,7,16514
231326,1,16125
231327,1,19893
231328,4,19453
231329,7,15371
231330,10,15945
231331,1,4782
231332,8,11211
231333,6,12220
231334,10,3931
231335,6,17394
231336,5,14323
231337,8,14752
231338,8,12798
231339,6,1823
231340,2,9945
231341,7,1490
231342,3,3309
231343,5,8412
231344,7,16374
231345,4,19052
231346,7,13314
231347,8,4746
231348,6,18577
231349,6,19887
231350,7,16398
231351,3,8077
231352,9,13427
231353,2,18056
231354,2,16468
231355,4,1879
231356,7,4685
231357,1,19991
231358,7,9872
231359,3,16731
231360,1,11757
231361,7,11793
231362,1,8686
231363,9,12663
231364,6,8868
231365,1,6753
231366,2,5874
231367,10,7267
231368,6,10889
231369,3,356
231370,9,18158
231371,1,19134
231372,8,5386
231373,10,13285
231374,4,1184
231375,5,12740
231376,3,18502
231377,5,900
231378,10,11219
231379,8,414
231380,5,6711
231381,4,18662
231382,7,3177
231383,9,6762
231384,3,7466
231385,10,12784
231386,7,11819
231387,5,7849
231388,5,14313
231389,2,699
231390,4,10453
231391,7,19327
231392,2,18992
231393,3,18761
231394,7,18572
231395,9,4331
231396,1,2177
231397,7,3346
231398,1,8887
231399,6,7032
231400,8,3603
231401,3,7633
231402,5,903
231403,1,18450
231404,3,10597
231405,8,1393
231406,1,17011
231407,2,1899
231408,10,16707
231409,6,1339
231410,5,2815
231411,6,14315
231412,1,1341
231413,5,577
231414,7,14536
231415,4,12682
231416,2,1649
231417,7,5238
231418,3,3140
231419,6,8972
231420,9,7943
231421,10,467
231422,5,18185
231423,5,15622
231424,9,8106
231425,5,5969
231426,2,10631
231427,1,9916
231428,3,5646
231429,4,16478
231430,9,17410
231431,10,5892
231432,6,3304
231433,4,3068
231434,3,4243
231435,5,6211
231436,3,14935
231437,1,12635
231438,9,15786
231439,5,19726
231440,3,2093
231441,9,17088
231442,6,898
231443,7,14551
231444,9,13956
231445,6,19555
231446,4,19898
231447,8,4559
231448,6,14426
231449,5,18265
231450,9,7104
231451,3,10233
231452,4,18147
231453,6,1666
231454,6,9801
231455,4,5493
231456,2,19709
231457,3,12864
231458,7,19832
231459,9,3424
231460,8,16637
231461,8,7931
231462,2,15834
231463,10,5895
231464,9,6430
231465,5,6931
231466,7,11371
231467,3,1437
231468,8,1644
231469,8,12929
231470,10,2341
231471,4,10161
231472,7,8901
231473,6,1210
231474,9,1480
231475,5,5943
231476,4,4381
231477,2,2589
231478,1,8016
231479,3,8279
231480,3,19374
231481,7,5534
231482,4,466
231483,6,15499
231484,5,18202
231485,10,9053
231486,8,8691
231487,10,4533
231488,8,5190
231489,8,19293
231490,8,16661
231491,10,18449
231492,4,2938
231493,1,10773
231494,2,10145
231495,10,14445
231496,5,2926
231497,3,6326
231498,6,3944
231499,8,15914
231500,10,16029
231501,6,7968
231502,4,17929
231503,10,6989
231504,6,7615
231505,1,16130
231506,2,8719
231507,3,1788
231508,3,10016
231509,4,7434
231510,1,9257
231511,10,6502
231512,1,11486
231513,10,19832
231514,8,14371
231515,7,16978
231516,9,15739
231517,7,12367
231518,4,9774
231519,1,758
231520,7,18847
231521,5,9321
231522,6,7933
231523,10,6356
231524,9,1339
231525,10,1946
231526,5,3629
231527,8,6157
231528,3,778
231529,8,5174
231530,7,10781
231531,9,8221
231532,1,12223
231533,5,13771
231534,4,12472
231535,1,15663
231536,5,18682
231537,2,650
231538,4,6355
231539,1,7972
231540,6,2958
231541,8,15390
231542,3,16911
231543,5,7768
231544,3,7277
231545,2,12381
231546,1,10662
231547,9,8019
231548,5,11629
231549,6,7738
231550,6,3021
231551,4,8015
231552,4,17217
231553,3,5271
231554,4,15751
231555,1,4522
231556,3,13913
231557,8,10205
231558,1,9608
231559,1,18735
231560,8,7015
231561,5,15945
231562,4,13413
231563,6,15514
231564,7,8003
231565,2,8167
231566,1,2127
231567,3,1836
231568,1,8543
231569,5,6908
231570,4,10076
231571,8,15602
231572,6,1475
231573,1,13865
231574,9,7629
231575,5,16261
231576,10,12678
231577,2,15984
231578,1,17120
231579,2,11639
231580,2,2211
231581,1,10904
231582,2,6668
231583,9,6478
231584,9,9815
231585,4,4653
231586,9,6314
231587,7,18351
231588,1,16656
231589,9,5786
231590,9,17355
231591,9,12516
231592,6,18473
231593,7,10199
231594,7,17815
231595,6,17314
231596,9,13032
231597,1,718
231598,7,15140
231599,2,1007
231600,8,1531
231601,3,8057
231602,6,9799
231603,1,14163
231604,2,12157
231605,10,16342
231606,4,4842
231607,2,8368
231608,8,1718
231609,4,17090
231610,4,12267
231611,7,14679
231612,9,9962
231613,3,17021
231614,2,5314
231615,8,19363
231616,7,2519
231617,7,13304
231618,1,12897
231619,2,10426
231620,4,2169
231621,6,4349
231622,4,11679
231623,4,14027
231624,5,15115
231625,5,8033
231626,9,13772
231627,7,7426
231628,9,4874
231629,6,19849
231630,10,18574
231631,3,2537
231632,1,18313
231633,3,18454
231634,8,15585
231635,4,12314
231636,10,8687
231637,2,4132
231638,10,14625
231639,3,13192
231640,6,563
231641,7,19302
231642,5,10922
231643,9,12004
231644,10,11076
231645,9,19907
231646,2,8443
231647,5,2551
231648,6,10637
231649,4,14703
231650,7,2740
231651,1,13239
231652,9,8209
231653,4,15016
231654,9,19146
231655,6,2447
231656,3,9492
231657,9,16282
231658,7,2795
231659,7,3673
231660,5,3053
231661,10,8634
231662,8,2762
231663,2,7817
231664,5,9164
231665,5,16753
231666,2,7808
231667,7,1410
231668,2,10505
231669,4,11226
231670,3,12977
231671,2,3771
231672,4,11154
231673,5,14762
231674,3,11595
231675,3,14110
231676,8,8309
231677,5,5336
231678,8,6376
231679,4,3043
231680,8,8791
231681,5,12628
231682,4,8150
231683,4,13604
231684,5,7494
231685,2,13965
231686,8,17203
231687,2,7002
231688,6,12878
231689,10,14923
231690,8,1824
231691,6,4733
231692,1,1275
231693,9,4691
231694,1,11928
231695,10,12880
231696,2,17840
231697,10,6275
231698,7,3381
231699,10,13014
231700,6,19072
231701,6,9287
231702,7,7320
231703,7,1444
231704,3,2948
231705,8,5905
231706,10,5001
231707,10,15047
231708,6,14164
231709,9,13149
231710,4,18701
231711,6,13081
231712,8,18183
231713,1,18140
231714,8,95
231715,3,19239
231716,1,768
231717,8,11014
231718,10,1269
231719,4,9007
231720,3,15991
231721,8,19073
231722,4,11143
231723,2,5479
231724,7,11678
231725,3,1281
231726,7,1508
231727,10,6123
231728,2,7165
231729,1,10426
231730,6,6733
231731,3,4387
231732,2,7306
231733,10,15172
231734,5,3988
231735,5,4267
231736,6,4120
231737,9,12959
231738,10,15991
231739,5,17840
231740,3,17441
231741,3,10861
231742,9,19632
231743,7,9404
231744,1,8670
231745,1,11431
231746,1,336
231747,8,6541
231748,2,3613
231749,3,16976
231750,2,514
231751,4,6593
231752,7,18319
231753,3,9617
231754,2,7217
231755,5,2228
231756,4,9123
