ID,TIPOHABITACION,TAMANIO,IDHOTEL
150447,estandar,Grande,2006
150448,suite,Grande,7801
150449,estandar,Grande,674
150450,semisuite,Grande,11175
150451,semisuite,Grande,11294
150452,semisuite,Grande,1802
150453,estandar,Grande,279
150454,estandar,Grande,15912
150455,suite,Grande,19404
150456,estandar,Grande,7044
150457,estandar,Grande,16360
150458,estandar,Grande,11318
150459,estandar,Grande,4156
150460,suite,Grande,1618
150461,semisuite,Grande,19149
150462,semisuite,Grande,5697
150463,estandar,Grande,16718
150464,semisuite,Grande,12252
150465,suite,Grande,8508
150466,semisuite,Grande,11934
150467,suite,Grande,1609
150468,estandar,Grande,7429
150469,semisuite,Grande,1992
150470,suite,Grande,17987
150471,estandar,Grande,16464
150472,estandar,Grande,10449
150473,estandar,Grande,6808
150474,suite,Grande,13395
150475,suite,Grande,3834
150476,estandar,Grande,14172
150477,suite,Grande,12166
150478,estandar,Grande,303
150479,semisuite,Grande,4054
150480,semisuite,Grande,7032
150481,suite,Grande,11047
150482,estandar,Grande,19838
150483,suite,Grande,11043
150484,semisuite,Grande,17089
150485,semisuite,Grande,15571
150486,semisuite,Grande,15029
150487,semisuite,Grande,18233
150488,suite,Grande,8954
150489,suite,Grande,10507
150490,suite,Grande,9951
150491,semisuite,Grande,16532
150492,estandar,Grande,4011
150493,estandar,Grande,12267
150494,estandar,Grande,16377
150495,semisuite,Grande,12737
150496,semisuite,Grande,9934
150497,semisuite,Grande,11617
150498,semisuite,Grande,4841
150499,estandar,Grande,8211
150500,suite,Grande,12786
150501,suite,Grande,8818
150502,estandar,Grande,9885
150503,suite,Grande,11590
150504,semisuite,Grande,17502
150505,semisuite,Grande,10355
150506,semisuite,Grande,1947
150507,estandar,Grande,12114
150508,suite,Grande,6491
150509,semisuite,Grande,10413
150510,semisuite,Grande,5461
150511,estandar,Grande,3209
150512,semisuite,Grande,10063
150513,suite,Grande,1493
150514,semisuite,Grande,8606
150515,semisuite,Grande,13270
150516,semisuite,Grande,8317
150517,semisuite,Grande,9074
150518,semisuite,Grande,2241
150519,estandar,Grande,12875
150520,suite,Grande,11204
150521,semisuite,Grande,18718
150522,suite,Grande,8367
150523,estandar,Grande,11787
150524,semisuite,Grande,9013
150525,estandar,Grande,12143
150526,estandar,Grande,17879
150527,suite,Grande,5769
150528,estandar,Grande,15164
150529,suite,Grande,19740
150530,estandar,Grande,17692
150531,estandar,Grande,6641
150532,estandar,Grande,6779
150533,suite,Grande,4299
150534,suite,Grande,12752
150535,estandar,Grande,15860
150536,suite,Grande,8967
150537,suite,Grande,2852
150538,semisuite,Grande,19615
150539,estandar,Grande,6533
150540,suite,Grande,14233
150541,estandar,Grande,1786
150542,suite,Grande,4149
150543,estandar,Grande,4638
150544,semisuite,Grande,1300
150545,estandar,Grande,10878
150546,estandar,Grande,5388
150547,estandar,Grande,19294
150548,semisuite,Grande,10080
150549,estandar,Grande,735
150550,estandar,Grande,11983
150551,semisuite,Grande,17022
150552,suite,Grande,6449
150553,estandar,Grande,10723
150554,suite,Grande,17556
150555,estandar,Grande,18053
150556,estandar,Grande,17524
150557,suite,Grande,5806
150558,estandar,Grande,6261
150559,suite,Grande,1255
150560,estandar,Grande,6939
150561,suite,Grande,697
150562,estandar,Grande,7436
150563,semisuite,Grande,4254
150564,suite,Grande,13355
150565,suite,Grande,99
150566,estandar,Grande,9461
150567,estandar,Grande,2583
150568,estandar,Grande,1605
150569,suite,Grande,1829
150570,semisuite,Grande,13806
150571,semisuite,Grande,7740
150572,estandar,Grande,8590
150573,estandar,Grande,11255
150574,suite,Grande,17595
150575,semisuite,Grande,1818
150576,semisuite,Grande,13367
150577,semisuite,Grande,3760
150578,suite,Grande,9468
150579,semisuite,Grande,4655
150580,estandar,Grande,16406
150581,suite,Grande,17163
150582,suite,Grande,8481
150583,estandar,Grande,14902
150584,suite,Grande,646
150585,semisuite,Grande,1584
150586,semisuite,Grande,6255
150587,semisuite,Grande,3481
150588,suite,Grande,8272
150589,suite,Grande,7584
150590,estandar,Grande,8005
150591,estandar,Grande,5661
150592,semisuite,Grande,17768
150593,suite,Grande,16573
150594,semisuite,Grande,5502
150595,suite,Grande,15051
150596,suite,Grande,10143
150597,semisuite,Grande,2935
150598,semisuite,Grande,11048
150599,semisuite,Grande,10811
150600,suite,Grande,19201
150601,estandar,Grande,8248
150602,estandar,Grande,11411
150603,suite,Grande,13723
150604,semisuite,Grande,17281
150605,suite,Grande,4082
150606,estandar,Grande,8507
150607,suite,Grande,16150
150608,estandar,Grande,6186
150609,suite,Grande,19234
150610,estandar,Grande,4232
150611,semisuite,Grande,14206
150612,semisuite,Grande,1440
150613,estandar,Grande,9149
150614,estandar,Grande,13640
150615,semisuite,Grande,7629
150616,semisuite,Grande,7559
150617,suite,Grande,8155
150618,suite,Grande,17620
150619,estandar,Grande,6698
150620,semisuite,Grande,16883
150621,suite,Grande,11967
150622,suite,Grande,16384
150623,semisuite,Grande,4369
150624,semisuite,Grande,1414
150625,semisuite,Grande,13687
150626,suite,Grande,5608
150627,estandar,Grande,12095
150628,estandar,Grande,10660
150629,suite,Grande,13906
150630,estandar,Grande,4442
150631,estandar,Grande,9811
150632,semisuite,Grande,7088
150633,semisuite,Grande,17022
150634,estandar,Grande,8633
150635,semisuite,Grande,1189
150636,estandar,Grande,439
150637,suite,Grande,7284
150638,semisuite,Grande,15674
150639,estandar,Grande,615
150640,suite,Grande,18543
150641,semisuite,Grande,164
150642,estandar,Grande,3894
150643,suite,Grande,17141
150644,estandar,Grande,4634
150645,suite,Grande,8779
150646,suite,Grande,6408
150647,suite,Grande,13419
150648,suite,Grande,19512
150649,estandar,Grande,10755
150650,suite,Grande,13810
150651,semisuite,Grande,12463
150652,semisuite,Grande,8313
150653,suite,Grande,18196
150654,suite,Grande,15215
150655,suite,Grande,19985
150656,semisuite,Grande,19651
150657,estandar,Grande,19882
150658,semisuite,Grande,14127
150659,semisuite,Grande,3525
150660,estandar,Grande,15538
150661,suite,Grande,2627
150662,semisuite,Grande,15280
150663,suite,Grande,16690
150664,suite,Grande,5496
150665,semisuite,Grande,4133
150666,estandar,Grande,12525
150667,suite,Grande,15278
150668,suite,Grande,13739
150669,estandar,Grande,19335
150670,suite,Grande,16973
150671,suite,Grande,13824
150672,estandar,Grande,16023
150673,estandar,Grande,16659
150674,semisuite,Grande,8867
150675,suite,Grande,104
150676,estandar,Grande,9048
150677,semisuite,Grande,5561
150678,suite,Grande,11436
150679,semisuite,Grande,8690
150680,suite,Grande,15009
150681,semisuite,Grande,15402
150682,semisuite,Grande,2276
150683,suite,Grande,12665
150684,suite,Grande,18692
150685,estandar,Grande,9324
150686,suite,Grande,14735
150687,suite,Grande,18756
150688,semisuite,Grande,18139
150689,semisuite,Grande,10533
150690,suite,Grande,8101
150691,suite,Grande,9700
150692,estandar,Grande,4924
150693,suite,Grande,20000
150694,semisuite,Grande,18615
150695,suite,Grande,2907
150696,estandar,Grande,9053
150697,semisuite,Grande,18689
150698,estandar,Grande,730
150699,semisuite,Grande,2718
150700,semisuite,Grande,15901
150701,estandar,Grande,1242
150702,suite,Grande,514
150703,estandar,Grande,5110
150704,semisuite,Grande,8278
150705,semisuite,Grande,17058
150706,semisuite,Grande,14261
150707,suite,Grande,6621
150708,estandar,Grande,10260
150709,estandar,Grande,8657
150710,semisuite,Grande,13901
150711,estandar,Grande,19112
150712,suite,Grande,9634
150713,semisuite,Grande,66
150714,estandar,Grande,11021
150715,estandar,Grande,14755
150716,suite,Grande,9997
150717,suite,Grande,19457
150718,semisuite,Grande,5415
150719,estandar,Grande,1082
150720,estandar,Grande,5667
150721,estandar,Grande,15823
150722,suite,Grande,11646
150723,semisuite,Grande,6728
150724,suite,Grande,1027
150725,suite,Grande,14938
150726,semisuite,Grande,11473
150727,suite,Grande,11669
150728,semisuite,Grande,18825
150729,suite,Grande,3596
150730,semisuite,Grande,1172
150731,semisuite,Grande,5335
150732,suite,Grande,1735
150733,semisuite,Grande,12051
150734,suite,Grande,17016
150735,suite,Grande,17173
150736,semisuite,Grande,12965
150737,suite,Grande,8815
150738,estandar,Grande,10599
150739,suite,Grande,15450
150740,semisuite,Grande,5184
150741,semisuite,Grande,5456
150742,suite,Grande,583
150743,suite,Grande,9202
150744,estandar,Grande,6875
150745,semisuite,Grande,3447
150746,suite,Grande,652
150747,suite,Grande,6578
150748,semisuite,Grande,4600
150749,estandar,Grande,10355
150750,suite,Grande,5773
150751,semisuite,Grande,11261
150752,suite,Grande,907
150753,semisuite,Grande,16203
150754,semisuite,Grande,2113
150755,semisuite,Grande,16490
150756,suite,Grande,5814
150757,semisuite,Grande,19444
150758,suite,Grande,19482
150759,estandar,Grande,8229
150760,suite,Grande,10382
150761,estandar,Grande,4873
150762,semisuite,Grande,3437
150763,estandar,Grande,18882
150764,semisuite,Grande,13235
150765,estandar,Grande,11217
150766,semisuite,Grande,14242
150767,estandar,Grande,9340
150768,suite,Grande,13093
150769,estandar,Grande,18706
150770,estandar,Grande,4260
150771,estandar,Grande,6854
150772,semisuite,Grande,13204
150773,semisuite,Grande,19963
150774,suite,Grande,19025
150775,semisuite,Grande,16905
150776,estandar,Grande,14940
150777,suite,Grande,18969
150778,semisuite,Grande,19567
150779,estandar,Grande,2153
150780,estandar,Grande,12688
150781,semisuite,Grande,14716
150782,semisuite,Grande,2782
150783,suite,Grande,17145
150784,estandar,Grande,16605
150785,semisuite,Grande,8515
150786,semisuite,Grande,17320
150787,semisuite,Grande,17468
150788,semisuite,Grande,17645
150789,estandar,Grande,16046
150790,semisuite,Grande,7714
150791,estandar,Grande,2043
150792,suite,Grande,5294
150793,semisuite,Grande,3775
150794,suite,Grande,1719
150795,estandar,Grande,10609
150796,semisuite,Grande,7792
150797,suite,Grande,19743
150798,estandar,Grande,14043
150799,semisuite,Grande,4516
150800,semisuite,Grande,14024
150801,suite,Grande,17547
150802,estandar,Grande,12954
150803,estandar,Grande,16347
150804,suite,Grande,10864
150805,semisuite,Grande,1497
150806,suite,Grande,10298
150807,semisuite,Grande,18528
150808,suite,Grande,289
150809,suite,Grande,5177
150810,semisuite,Grande,3015
150811,semisuite,Grande,16304
150812,estandar,Grande,17696
150813,suite,Grande,15738
150814,semisuite,Grande,4971
150815,semisuite,Grande,8212
150816,semisuite,Grande,5427
150817,estandar,Grande,17571
150818,suite,Grande,11953
150819,suite,Grande,7703
150820,estandar,Grande,15570
150821,estandar,Grande,8868
150822,suite,Grande,4977
150823,suite,Grande,17440
150824,suite,Grande,16567
150825,semisuite,Grande,10558
150826,estandar,Grande,16373
150827,semisuite,Grande,6194
150828,estandar,Grande,1640
150829,semisuite,Grande,12293
150830,suite,Grande,16215
150831,estandar,Grande,11610
150832,suite,Grande,18523
150833,suite,Grande,4693
150834,semisuite,Grande,2430
150835,suite,Grande,7648
150836,suite,Grande,18447
150837,semisuite,Grande,12268
150838,estandar,Grande,17989
150839,suite,Grande,5312
150840,estandar,Grande,4426
150841,estandar,Grande,10420
150842,suite,Grande,11956
150843,semisuite,Grande,11024
150844,semisuite,Grande,3003
150845,semisuite,Grande,4500
150846,estandar,Grande,11382
150847,estandar,Grande,11173
150848,estandar,Grande,4181
150849,suite,Grande,3307
150850,estandar,Grande,12958
150851,estandar,Grande,15057
150852,suite,Grande,11162
150853,estandar,Grande,17323
150854,estandar,Grande,2469
150855,estandar,Grande,25
150856,estandar,Grande,512
150857,suite,Grande,13855
150858,estandar,Grande,2249
150859,semisuite,Grande,7405
150860,semisuite,Grande,5188
150861,semisuite,Grande,6573
150862,semisuite,Grande,10506
150863,estandar,Grande,8849
150864,semisuite,Grande,10773
150865,estandar,Grande,720
150866,suite,Grande,16814
150867,estandar,Grande,12995
150868,suite,Grande,15590
150869,estandar,Grande,6614
150870,semisuite,Grande,12795
150871,suite,Grande,13659
150872,suite,Grande,19902
150873,suite,Grande,7525
150874,suite,Grande,1544
150875,semisuite,Grande,9101
150876,estandar,Grande,5585
150877,suite,Grande,16946
150878,semisuite,Grande,13275
150879,suite,Grande,1849
150880,estandar,Grande,3906
150881,semisuite,Grande,8810
150882,estandar,Grande,1071
150883,semisuite,Grande,14640
150884,suite,Grande,11096
150885,estandar,Grande,4583
150886,estandar,Grande,13854
150887,suite,Grande,13683
150888,suite,Grande,16174
150889,estandar,Grande,18451
150890,suite,Grande,13517
150891,suite,Grande,3269
150892,estandar,Grande,16446
150893,estandar,Grande,3217
150894,semisuite,Grande,2272
150895,suite,Grande,17970
150896,estandar,Grande,760
150897,estandar,Grande,7446
150898,suite,Grande,2496
150899,suite,Grande,18645
150900,estandar,Grande,7474
150901,estandar,Grande,19422
150902,suite,Grande,12654
150903,estandar,Grande,712
150904,semisuite,Grande,14685
150905,semisuite,Grande,6789
150906,suite,Grande,108
150907,semisuite,Grande,11933
150908,semisuite,Grande,3830
150909,suite,Grande,6433
150910,estandar,Grande,6682
150911,suite,Grande,7932
150912,semisuite,Grande,11944
150913,estandar,Grande,7490
150914,suite,Grande,5703
150915,suite,Grande,5707
150916,suite,Grande,1338
150917,estandar,Grande,659
150918,suite,Grande,1643
150919,estandar,Grande,13534
150920,semisuite,Grande,13925
150921,estandar,Grande,17875
150922,estandar,Grande,3349
150923,suite,Grande,7628
150924,estandar,Grande,13364
150925,semisuite,Grande,18296
150926,suite,Grande,8997
150927,suite,Grande,12300
150928,suite,Grande,5534
150929,suite,Grande,11474
150930,semisuite,Grande,18141
150931,suite,Grande,14254
150932,suite,Grande,11456
150933,suite,Grande,7508
150934,suite,Grande,4855
150935,suite,Grande,14362
150936,estandar,Grande,10449
150937,suite,Grande,18190
150938,estandar,Grande,17999
150939,estandar,Grande,17035
150940,semisuite,Grande,12659
150941,semisuite,Grande,15957
150942,semisuite,Grande,14618
150943,estandar,Grande,13847
150944,suite,Grande,10707
150945,estandar,Grande,7311
150946,semisuite,Grande,7535
150947,estandar,Grande,1852
150948,semisuite,Grande,270
150949,semisuite,Grande,9916
150950,semisuite,Grande,3978
150951,semisuite,Grande,6642
150952,estandar,Grande,14762
150953,semisuite,Grande,8381
150954,estandar,Grande,18147
150955,estandar,Grande,9423
150956,semisuite,Grande,750
150957,semisuite,Grande,9827
150958,suite,Grande,14287
150959,suite,Grande,9545
150960,estandar,Grande,12424
150961,semisuite,Grande,17632
150962,estandar,Grande,6922
150963,suite,Grande,9407
150964,suite,Grande,17384
150965,semisuite,Grande,12789
150966,suite,Grande,742
150967,semisuite,Grande,1843
150968,estandar,Grande,7909
150969,estandar,Grande,5901
150970,suite,Grande,15975
150971,semisuite,Grande,6756
150972,semisuite,Grande,18547
150973,estandar,Grande,11749
150974,estandar,Grande,6854
150975,semisuite,Grande,272
150976,suite,Grande,1882
150977,estandar,Grande,606
150978,estandar,Grande,2588
150979,semisuite,Grande,17161
150980,semisuite,Grande,10676
150981,suite,Grande,4793
150982,estandar,Grande,4768
150983,suite,Grande,16694
150984,suite,Grande,6452
150985,estandar,Grande,342
150986,suite,Grande,3415
150987,estandar,Grande,203
150988,semisuite,Grande,8530
150989,estandar,Grande,6223
150990,semisuite,Grande,1973
150991,semisuite,Grande,10269
150992,semisuite,Grande,13891
150993,suite,Grande,16771
150994,suite,Grande,19560
150995,estandar,Grande,8972
150996,semisuite,Grande,11353
150997,suite,Grande,11879
150998,suite,Grande,10336
150999,estandar,Grande,17333
151000,semisuite,Grande,10587
151001,semisuite,Grande,478
151002,semisuite,Grande,15639
